Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
ボタン,button,ボタン,Noun,,jlpt-n5 jlpt-n5
デパート,department store,デパート,Noun,department,jlpt-n5 jlpt-n5
トイレ,"toilet, restroom, bathroom, lavatory",トイレ,Noun,,jlpt-n5 jlpt-n5
其れでは,well then ...,其[そ]れでは,Expression,"in that situation, in which case",jlpt-n1 jlpt-n5
フォーク,fork,フォーク,Noun,"folk, folk song; hawk",jlpt-n5 jlpt-n5
明後日,day after tomorrow,明後日[あさって],"Adverbial noun, Temporal noun",,jlpt-n3 jlpt-n1 jlpt-n5 jlpt-n3 jlpt-n1 jlpt-n5
何れ,which (of three or more),何[ど]れ,Pronoun,"whichever, any; well, now, let me see",jlpt-n3 jlpt-n1 jlpt-n5
二十歳,20 years old,二十歳[はたち],Noun,twenty,jlpt-n3 jlpt-n5
彼方,"that way (direction distant from both speaker and listener), over there, yonder",彼方[あちら],Pronoun,"that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener), that; that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener); there (place distant from both speaker and listener), over there, foreign country (esp. a Western nation)",jlpt-n1 jlpt-n5
では,"then, well, so, well then",では,Conjunction,,jlpt-n3 jlpt-n5
フィルム,film,フィルム,Noun,,jlpt-n5 jlpt-n5
温い,"lukewarm, tepid",温[ぬる]い,I-adjective,"lenient; slow, stupid",jlpt-n5 jlpt-n5
四日,fourth day of the month,四日[よっか],Noun,four days,jlpt-n5
カレンダー,calendar,カレンダー,Noun,calender (machine for flattening things),jlpt-n5
七日,the seventh day of the month,七日[なのか],Adverbial noun,seven days,jlpt-n1 jlpt-n5 jlpt-n1 jlpt-n5
然うして,"and, like that",然[そ]うして,Conjunction,,jlpt-n2 jlpt-n1 jlpt-n5
瓦,"gram, gramme",瓦[グラム],Noun,,jlpt-n5
瓩,"kilogram, kilogramme",瓩[キログラム],Noun,,jlpt-n5
直ぐに,"immediately, right away, at once, instantly",直[す]ぐに,Adverb,,jlpt-n5
一月,one month,一月[ひとつき],Noun,,jlpt-n5 jlpt-n5
あのう,"say, well, um, er",あのう,,,jlpt-n5
マッチ,match (contest),マッチ,Noun,"to match with, to go well with",jlpt-n5
秋,"autumn, fall",秋[あき],Temporal noun,,jlpt-n5
燐寸,match (to light fire with),燐寸[マッチ],Noun,,jlpt-n5
字引,dictionary,字引[じびき],Noun,,jlpt-n5 jlpt-n5
咖哩,curry,咖哩[カレー],Noun,rice and curry,jlpt-n5
ラジカセ,radio-cassette player,ラジカセ,Noun,,jlpt-n5 jlpt-n5
ＰＥＴ,"polyethylene terephthalate, PET",ＰＥＴ,Noun,"positron emission tomography, PET",jlpt-n5
