Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
説得,persuasion,説得[せっとく],"Noun, Suru verb",,jlpt-n1
助言,"advice, suggestion",助言[じょげん],"Noun, Suru verb, No-adjective",,jlpt-n1
理論,theory,理論[りろん],Noun,,jlpt-n1
怒り,"anger, rage, fury, wrath, indignation",怒[いか]り,Noun,,jlpt-n1
秘書,(private) secretary,秘書[ひしょ],"Noun, No-adjective","treasured book, secret book",jlpt-n1
紳士,gentleman,紳士[しんし],Noun,,jlpt-n1
証拠,"evidence, proof",証拠[しょうこ],Noun,,jlpt-n1
選挙,election,選挙[せんきょ],"Noun, Suru verb, No-adjective",,jlpt-n1 jlpt-n1
運命,"fate, destiny, lot",運命[うんめい],Noun,,jlpt-n1
世,"world, society, public",世[よ],Noun,"life, lifetime; age, era, period, epoch, generation; reign, rule; the times; world (of existence)",jlpt-n1
天才,"genius, prodigy, natural gift",天才[てんさい],Noun,,jlpt-n1
富,"riches, wealth, fortune",富[とみ],Noun,resources; lottery,jlpt-n1
取引,"transactions, dealings, business",取引[とりひき],"Noun, Suru verb",,jlpt-n1
階,"storey, story, floor",階[かい],"Noun, Noun - used as a suffix",stairs; stage (in chronostratigraphy); counter for storeys and floors of a building,jlpt-n1
危機,"crisis, critical situation, emergency, pinch",危機[きき],Noun,,jlpt-n1
勝利,"victory, triumph, conquest, success, win",勝利[しょうり],"Noun, Suru verb",,jlpt-n1
交渉,"negotiations, discussions",交渉[こうしょう],"Noun, Suru verb, No-adjective",connection,jlpt-n1
予想,"expectation, anticipation, prediction, forecast, conjecture",予想[よそう],"Noun, Suru verb, No-adjective",,jlpt-n1
政策,"political measures, policy",政策[せいさく],Noun,,jlpt-n1
距離,"distance, range",距離[きょり],Noun,,jlpt-n1
洪水,"flood, flooding",洪水[こうずい],Noun,,jlpt-n1
幽霊,"ghost, specter, spectre, apparition, phantom",幽霊[ゆうれい],Noun,,jlpt-n1
同情,"sympathy, compassion, feeling pity for",同情[どうじょう],"Noun, Suru verb",,jlpt-n1
航海,"voyage, navigation, sailing, passage, cruise",航海[こうかい],"Noun, Suru verb",,jlpt-n1
破壊,"destruction, disruption",破壊[はかい],"Noun, Suru verb",(application) crash,jlpt-n1
自信,"self-confidence, confidence (in oneself)",自信[じしん],"Noun, Suru verb",,jlpt-n1
世代,"generation, the world, the age",世代[せだい],"Noun, No-adjective",,jlpt-n1
殺人,"murder, homicide, manslaughter",殺人[さつじん],Noun,,jlpt-n1
治療,"medical treatment, cure",治療[ちりょう],"Noun, Suru verb, No-adjective",,jlpt-n1
資格,"qualifications, requirements, capabilities",資格[しかく],Noun,,jlpt-n1
小切手,"cheque, check",小切手[こぎって],Noun,,jlpt-n1
反応,"reaction, response",反応[はんのう],"Noun, Suru verb",,jlpt-n1
制服,uniform,制服[せいふく],Noun,,jlpt-n1
企画,"planning, project, plan, design",企画[きかく],"Noun, Suru verb",,jlpt-n1
報道,"information, report, journalism, news",報道[ほうどう],Noun,to report,jlpt-n1
賃金,wages,賃金[ちんぎん],"Noun, No-adjective",cash payment of rent,jlpt-n1
権力,"(political) power, authority, influence",権力[けんりょく],"Noun, No-adjective",,jlpt-n1
名誉,"honor, honour, credit, prestige",名誉[めいよ],"Na-adjective, Noun",,jlpt-n1
暴力,"violence, mayhem",暴力[ぼうりょく],Noun,,jlpt-n1
貧困,"poverty, penury, need, destitution",貧困[ひんこん],"Noun, Na-adjective, No-adjective","shortage, lack, want",jlpt-n1
美,beauty,美[び],"Noun, Noun - used as a suffix",,jlpt-n1
保険,"insurance, guarantee",保険[ほけん],"Noun, No-adjective",,jlpt-n1 jlpt-n1
孤独,"solitude, loneliness, isolation",孤独[こどく],"Noun, Na-adjective, No-adjective",,jlpt-n1
妥協,"compromise, giving in",妥協[だきょう],"Noun, Suru verb",,jlpt-n1
聖書,"Bible, scriptures",聖書[せいしょ],"Noun, No-adjective",,jlpt-n1
昆虫,"insect, bug",昆虫[こんちゅう],"Noun, No-adjective",,jlpt-n1
向き,"direction, orientation, aspect, exposure",向[む]き,"Noun, Noun - used as a suffix","suited to, suitable for, designed for; tendency, inclination; nature (of a request or desire); person",jlpt-n1
判決,"judicial decision, judgement, judgment, sentence, decree",判決[はんけつ],"Noun, Suru verb, No-adjective",,jlpt-n1
保護,"protection, safeguard, guardianship, custody, patronage",保護[ほご],"Noun, Suru verb","preservation, conservation",jlpt-n1
牧師,"pastor, minister, clergyman, reverend",牧師[ぼくし],"Noun, No-adjective",,jlpt-n1
規制,"regulation, (traffic) policing, control, restriction",規制[きせい],"Noun, Suru verb",,jlpt-n1
倒産,"(corporate) bankruptcy, insolvency, commercial failure, failed business",倒産[とうさん],"Noun, Suru verb",,jlpt-n1
着陸,"landing, alighting, touch down",着陸[ちゃくりく],"Noun, Suru verb",,jlpt-n1
偏見,"prejudice, bias, distorted view",偏見[へんけん],Noun,,jlpt-n1
入浴,bathing,入浴[にゅうよく],Noun,"to bathe, to take a bath, to enter a bath",jlpt-n1
報酬,"remuneration, recompense, reward, toll",報酬[ほうしゅう],Noun,,jlpt-n1
財政,public finance,財政[ざいせい],Noun,"financial affairs, financial situation",jlpt-n1
証言,"testimony, (verbal) evidence",証言[しょうげん],"Noun, Suru verb",,jlpt-n1
革命,revolution,革命[かくめい],"Noun, No-adjective",58th year of the sexagenary cycle (in Onmyōdō),jlpt-n1
人民,"people, public",人民[じんみん],Noun,,jlpt-n1
動機,"motive, incentive",動機[どうき],Noun,motif,jlpt-n1
祈り,"prayer, supplication",祈[いの]り,Noun,,jlpt-n1
予言,"prediction, prophecy, prognostication",予言[よげん],"Noun, Suru verb",,jlpt-n1
自己,"self, oneself",自己[じこ],"Noun, No-adjective",,jlpt-n1
決断,"decision, determination",決断[けつだん],"Noun, Suru verb",,jlpt-n1
移民,"emigration, immigration",移民[いみん],"Noun, Suru verb, No-adjective","emigrant, immigrant",jlpt-n1
改革,"reform, reformation, reorganization",改革[かいかく],"Noun, Suru verb",,jlpt-n1
暴動,"insurrection, rebellion, revolt, riot, uprising",暴動[ぼうどう],"Noun, No-adjective",,jlpt-n1
妊娠,"conception, pregnancy",妊娠[にんしん],"Noun, Suru verb, No-adjective",,jlpt-n1
死刑,"death penalty, capital punishment",死刑[しけい],Noun,,jlpt-n1
災害,"calamity, disaster, misfortune",災害[さいがい],Noun,,jlpt-n1
実業家,"businessman, industrialist",実業家[じつぎょうか],Noun,,jlpt-n1
真珠,pearl,真珠[しんじゅ],Noun,,jlpt-n1
爆弾,bomb,爆弾[ばくだん],Noun,"alcohol with liquor added (esp. wine-based shochu highball, also beer with whiskey)",jlpt-n1
燃料,fuel,燃料[ねんりょう],Noun,,jlpt-n1
民族,"people, race, nation, ethnic group, ethnos",民族[みんぞく],"Noun, No-adjective",,jlpt-n1
人格,"personality, character, individuality, personhood",人格[じんかく],Noun,,jlpt-n1
権威,"authority, power, influence",権威[けんい],Noun,,jlpt-n1
承諾,"consent, approval, acceptance, agreement, compliance",承諾[しょうだく],"Noun, Suru verb",,jlpt-n1
定義,definition,定義[ていぎ],"Noun, Suru verb",,jlpt-n1
伝説,"tradition, legend, folklore",伝説[でんせつ],Noun,,jlpt-n1
網,"net, netting",網[あみ],Noun,web,jlpt-n1
悪,"evil, wickedness",悪[あく],Noun,,jlpt-n1
圧力,"pressure, stress",圧力[あつりょく],Noun,"pressure (e.g. political), coercion, arm-twisting",jlpt-n1
脳,brain,脳[のう],Noun,"brains, mind",jlpt-n1
植民地,colony,植民地[しょくみんち],Noun,colonial,jlpt-n1
品質,(material) quality,品質[ひんしつ],Noun,,jlpt-n1
反乱,"insurrection, mutiny, rebellion, revolt, uprising",反乱[はんらん],"Noun, Suru verb, No-adjective",,jlpt-n1
物体,"body, object",物体[ぶったい],Noun,,jlpt-n1
体力,"stamina, endurance, physical strength, resilience, resistance to disease",体力[たいりょく],Noun,"strength of an organization (e.g. profitability, productivity, economic clout, stability, growth potential)",jlpt-n1
孤児,orphan,孤児[こじ],"Noun, No-adjective",person without friends,jlpt-n1
認識,"recognition, awareness, perception, understanding, knowledge, cognition, cognizance, cognisance",認識[にんしき],"Noun, Suru verb",,jlpt-n1
海峡,"channel (e.g. between two land masses), strait",海峡[かいきょう],Noun,,jlpt-n1
芝,"lawn, sod, turf",芝[しば],Noun,,jlpt-n1
宮殿,palace,宮殿[きゅうでん],"Noun, No-adjective",,jlpt-n1
福祉,"welfare, well-being, social welfare, social security, social service",福祉[ふくし],Noun,,jlpt-n1
火星,Mars (planet),火星[かせい],"Noun, No-adjective",,jlpt-n1
文書,"document, writing, letter, papers, notes, records, archives",文書[ぶんしょ],Noun,document addressed to someone,jlpt-n1
探検,"exploration, expedition",探検[たんけん],"Noun, Suru verb",,jlpt-n1
戦闘,"battle, fight, combat",戦闘[せんとう],"Noun, Suru verb, No-adjective",,jlpt-n1
柱,"pillar, post",柱[はしら],Noun,"support, prop, mainstay; counter for buddhas, gods, nobles, etc.",jlpt-n1
預金,"deposit, bank account",預金[よきん],"Noun, Suru verb",,jlpt-n1
正義,"justice, right, righteousness, correct meaning",正義[せいぎ],Noun,,jlpt-n1
理性,"reason, reasoning power, (one's) sense",理性[りせい],Noun,,jlpt-n1
真理,truth,真理[しんり],"Noun, No-adjective",,jlpt-n1
闇,"darkness, the dark",闇[やみ],"Noun, No-adjective","bewilderment, despair, hopelessness; hidden place, secrecy, oblivion; black market, shady trading, underhand transactions, illegal channels",jlpt-n1
条約,"treaty, pact, convention, agreement",条約[じょうやく],Noun,,jlpt-n1
出血,"bleeding, haemorrhage, hemorrhage",出血[しゅっけつ],"Noun, Suru verb","bleeding money, red ink, selling below cost",jlpt-n1
職員,"staff member, personnel",職員[しょくいん],"Noun, No-adjective",,jlpt-n1
声明,"declaration, statement, proclamation",声明[せいめい],"Noun, Suru verb",,jlpt-n1
関税,"tariff (import tax), duty, customs",関税[かんぜい],Noun,,jlpt-n1
日焼け,"sunburn, suntan, tan",日焼[ひや]け,"Noun, Suru verb","becoming discolored from the sun (e.g. paper), yellowing",jlpt-n1
思考,"thought, consideration, thinking",思考[しこう],"Noun, Suru verb, No-adjective",,jlpt-n1
本能,instinct,本能[ほんのう],"Noun, No-adjective",,jlpt-n1
形態,"form, shape, figure",形態[けいたい],Noun,,jlpt-n1
尿,urine,尿[にょう],Noun,,jlpt-n1
憎しみ,hatred,憎[にく]しみ,Noun,,jlpt-n1
内閣,"cabinet (of a government), ministry",内閣[ないかく],Noun,,jlpt-n1
固定,"fixing (in place), securing, anchoring, fastening down",固定[こてい],"Noun, Suru verb","fixing (e.g. salary, capital), keeping the same; fixation (histology); user name (on an online forum like 2ch where the majority of users post anonymously); user who uses a online handle (instead of posting anonymously)",jlpt-n1
見積もり,"estimate, estimation, valuation, quotation",見積[みつ]もり,Noun,,jlpt-n1
概念,"general idea, concept, notion",概念[がいねん],Noun,,jlpt-n1
良心,conscience,良心[りょうしん],Noun,,jlpt-n1
比例,proportion,比例[ひれい],"Noun, Suru verb",,jlpt-n1
視野,"field of vision, view",視野[しや],Noun,"one's outlook (e.g. on life), one's horizons",jlpt-n1
独占,"monopoly, monopolization",独占[どくせん],"Noun, Suru verb","hogging, keeping to oneself",jlpt-n1
資産,"property, fortune, means, assets",資産[しさん],Noun,,jlpt-n1
恋愛,"love, love-making, passion, emotion, affections",恋愛[れんあい],"Noun, Suru verb, No-adjective",,jlpt-n1
看護,"nursing, (army) nurse",看護[かんご],"Noun, Suru verb",,jlpt-n1
根源,"root, source, origin, foundation, base, principle",根源[こんげん],"Noun, No-adjective",,jlpt-n1
転勤,"job transfer, job relocation, intra-company transfer",転勤[てんきん],"Noun, Suru verb",,jlpt-n1
負債,"debt, liabilities",負債[ふさい],Noun,,jlpt-n1
面会,"meeting (face-to-face), interview",面会[めんかい],"Noun, Suru verb, No-adjective",,jlpt-n1
貴族,"noble, aristocrat, peer",貴族[きぞく],"Noun, No-adjective",,jlpt-n1
権限,"power, authority, jurisdiction",権限[けんげん],Noun,,jlpt-n1
電線,"electric line, electric cable, power cable",電線[でんせん],Noun,"telephone line, telegraph wire",jlpt-n1
疲労,"fatigue, weariness",疲労[ひろう],"Noun, Suru verb",,jlpt-n1
乱用,"abuse, misuse, misappropriation, using to excess",乱用[らんよう],"Noun, Suru verb",,jlpt-n1
在庫,"inventory, stock, stockpile",在庫[ざいこ],Noun,,jlpt-n1
家出,"running away from home, elopement",家出[いえで],"Noun, Suru verb","outing, going out; becoming a Buddhist monk, entering the priesthood",jlpt-n1
運賃,(passenger) fare,運賃[うんちん],Noun,"freight rates, shipping expenses",jlpt-n1
潮,"tide, current",潮[しお],Noun,"sea water; opportunity, chance; thin soup of fish or shellfish boiled in seawater",jlpt-n1
退学,"dropping out of school, withdrawing from school",退学[たいがく],"Noun, Suru verb","expulsion from school, dismissal; leaving school (university, etc.) after completing a course",jlpt-n1
天国,"paradise, heaven, Kingdom of Heaven",天国[てんごく],"Noun, No-adjective",,jlpt-n1
与党,"ruling party, government party, party in power, government",与党[よとう],"Noun, No-adjective",,jlpt-n1
肺,lung,肺[はい],Noun,,jlpt-n1
定年,retirement age,定年[ていねん],Noun,years of service in a military rank before eligibility for promotion,jlpt-n1
山脈,"mountain range, mountain belt",山脈[さんみゃく],Noun,,jlpt-n1
腐敗,"decomposition, putrefaction, putrescence, spoilage",腐敗[ふはい],"Noun, Suru verb","corruption, degeneracy, decay, depravity",jlpt-n1
救済,"relief, aid, rescue, salvation, help",救済[きゅうさい],"Noun, Suru verb",,jlpt-n1
遺跡,"historic ruins (remains, relics), archeological site",遺跡[いせき],Noun,,jlpt-n1
扉,"door, gate, opening",扉[とびら],Noun,title page,jlpt-n1
捕虜,prisoner (of war),捕虜[ほりょ],Noun,,jlpt-n1
得点,"scoring, score, points made, marks obtained, goals, runs",得点[とくてん],"Noun, Suru verb",,jlpt-n1
気質,"disposition, temperament, nature, mentality, spirit, character, trait, turn of mind",気質[きしつ],"Noun, Noun - used as a suffix",,jlpt-n1
実践,"practice, putting into practice, implementation",実践[じっせん],"Noun, Suru verb",praxis (philosophy),jlpt-n1
設定,"establishment, creation, posing (a problem), setting (movie, novel, etc.), scene",設定[せってい],"Noun, Suru verb","options setting, preference settings, configuration, setup",jlpt-n1
戦術,tactics,戦術[せんじゅつ],"Noun, No-adjective",,jlpt-n1
喜劇,"comedy, funny show",喜劇[きげき],"Noun, No-adjective",,jlpt-n1
連邦,"commonwealth, federation of states, confederation, union",連邦[れんぽう],"Noun, No-adjective",,jlpt-n1
野党,"opposition party, political opposition, opposition",野党[やとう],"Noun, No-adjective",,jlpt-n1
介護,"nursing, care, caregiving, caring",介護[かいご],"Noun, Suru verb, No-adjective",,jlpt-n1
原子,atom,原子[げんし],Noun,,jlpt-n1
主食,staple food,主食[しゅしょく],Noun,,jlpt-n1
分裂,"split, division, break up",分裂[ぶんれつ],"Noun, Suru verb",,jlpt-n1
人体,human body,人体[じんたい],Noun,,jlpt-n1
人質,hostage,人質[ひとじち],Noun,,jlpt-n1
模型,"model, dummy, maquette",模型[もけい],"Noun, No-adjective",,jlpt-n1
細胞,cell,細胞[さいぼう],Noun,"cell (in an organization, esp. a communist party)",jlpt-n1
感染,"infection, contagion",感染[かんせん],"Noun, Suru verb, No-adjective",,jlpt-n1
主人公,"protagonist, main character, hero(ine) (of a story)",主人公[しゅじんこう],Noun,head of household,jlpt-n1
占領,"occupying, having (an area) all to oneself",占領[せんりょう],"Noun, Suru verb","military occupation, possession, capture, seizure",jlpt-n1
斜面,"slope, slanting surface, bevel",斜面[しゃめん],Noun,,jlpt-n1
暗殺,assassination,暗殺[あんさつ],"Noun, Suru verb",,jlpt-n1
堤防,"bank, weir, embankment, levee",堤防[ていぼう],"Noun, Suru verb",,jlpt-n1
家畜,"domestic animals, livestock, cattle",家畜[かちく],Noun,,jlpt-n1
反発,"opposition, rebellion, revolt, resistance, backlash, refusal",反発[はんぱつ],"Noun, Suru verb","rebounding, recoiling, repulsion; rally (e.g. in stock prices), recovery",jlpt-n1
神秘,"mystery, mysteriousness, secret",神秘[しんぴ],"Noun, Na-adjective, No-adjective",,jlpt-n1
政権,"(political) administration, political power",政権[せいけん],Noun,,jlpt-n1
証人,witness,証人[しょうにん],Noun,,jlpt-n1
脂肪,"fat, grease, blubber, lard, suet",脂肪[しぼう],Noun,,jlpt-n1
襟,"collar, lapel, neckband, neck",襟[えり],Noun,"nape of the neck, scruff of the neck",jlpt-n1
君主,"ruler, monarch, sovereign",君主[くんしゅ],"Noun, No-adjective",,jlpt-n1
無効,"invalid, void, ineffective, unavailable",無効[むこう],"No-adjective, Na-adjective, Noun",,jlpt-n1
同調,"sympathy, agreement with, alignment, conformity, tuning",同調[どうちょう],"Noun, Suru verb",,jlpt-n1
清算,"settlement (financial), squaring accounts, clearing debts",清算[せいさん],"Noun, Suru verb","liquidation; ending (a relationship), breaking up (with), burying (the past), redeeming (one's faults)",jlpt-n1
貨幣,"money, currency, coinage",貨幣[かへい],"Noun, No-adjective",,jlpt-n1
織物,"textile, fabric",織物[おりもの],Noun,,jlpt-n1
天体,"heavenly body, celestial body, astronomical object",天体[てんたい],"Noun, No-adjective",,jlpt-n1
抑圧,"check, restraint, oppression, suppression",抑圧[よくあつ],"Noun, Suru verb",,jlpt-n1
基金,"fund, foundation",基金[ききん],"Noun, No-adjective",,jlpt-n1
乱れる,"to be disordered, to be disarranged, to be disarrayed, to be disheveled, to be dishevelled",乱[みだ]れる,"Ichidan verb, intransitive verb","to be discomposed, to be upset, to get confused, to be disturbed; to lapse into chaos (due to war, etc.)",jlpt-n1
詐欺,"fraud, swindle, graft, cheating, trick, scam",詐欺[さぎ],"Noun, No-adjective",,jlpt-n1
中立,neutrality,中立[ちゅうりつ],Noun,,jlpt-n1
回路,circuit (electric),回路[かいろ],Noun,cycle (e.g. Krebs cycle),jlpt-n1
刃,edge (of a knife or sword),刃[は],Noun,prong (of an electrical plug),jlpt-n1
本質,"essence, true nature, substance, reality",本質[ほんしつ],"Noun, No-adjective",,jlpt-n1
前提,"preamble, premise, reason, prerequisite, condition, assumption, hypothesis, given",前提[ぜんてい],Noun,,jlpt-n1
戯曲,"play, drama",戯曲[ぎきょく],"Noun, No-adjective",,jlpt-n1
墓地,"cemetery, graveyard",墓地[ぼち],Noun,,jlpt-n1
官僚,"bureaucrat, government official, bureaucracy",官僚[かんりょう],Noun,,jlpt-n1
枠,"frame, framework",枠[わく],"Noun, Noun - used as a suffix","border, box; limit, restriction, quota",jlpt-n1
視覚,"sense of sight, vision",視覚[しかく],"Noun, No-adjective",,jlpt-n1
漁船,fishing boat,漁船[ぎょせん],Noun,,jlpt-n1
調理,"cooking, food preparation",調理[ちょうり],"Noun, Suru verb",,jlpt-n1
作戦,"tactics, strategy",作戦[さくせん],Noun,"military operation, naval operation",jlpt-n1
教員,"teacher, instructor, teaching staff, faculty member",教員[きょういん],Noun,,jlpt-n1
仕様,"way, method, means, resource, remedy",仕様[しよう],Noun,(technical) specification,jlpt-n1
解除,"cancellation, rescinding, release, calling off, lifting (sanctions), delisting",解除[かいじょ],"Noun, Suru verb",,jlpt-n1
利子,"interest (on a loan, deposit, etc.)",利子[りし],Noun,,jlpt-n1
照明,"illumination, lighting",照明[しょうめい],"Noun, Suru verb, No-adjective",,jlpt-n1
下痢,"diarrhoea, diarrhea",下痢[げり],"Noun, Suru verb, No-adjective",,jlpt-n1
反響,"echo, reverberation",反響[はんきょう],"Noun, Suru verb","repercussion, reaction, response, influence",jlpt-n1
均衡,"equilibrium, balance",均衡[きんこう],"Noun, Suru verb",,jlpt-n1
財,"fortune, riches",財[ざい],"Noun, Noun - used as a suffix",goods; incorporated foundation,jlpt-n1
反射,"reflection, reverberation",反射[はんしゃ],"Noun, Suru verb","reflex, reflexes",jlpt-n1
麻酔,"anaesthesia, anesthesia",麻酔[ますい],"Noun, No-adjective",,jlpt-n1
発作,"fit, spasm, attack, seizure",発作[ほっさ],"Noun, Suru verb, No-adjective",,jlpt-n1
街道,"highway (esp. one existing from the Edo period), main road",街道[かいどう],Noun,"highway (e.g. to success), path (to becoming ...)",jlpt-n1
結晶,"crystal, crystallization, crystallisation",結晶[けっしょう],"Noun, Suru verb","fruits (of labor, union, etc.)",jlpt-n1
僧,"monk, priest",僧[そう],Noun,sangha (the Buddhist community),jlpt-n1
映像,"image (on a screen), picture (e.g. on a TV)",映像[えいぞう],Noun,"video, film, footage; reflection; image (in one's mind), mental picture",jlpt-n1
蜜,nectar,蜜[みつ],Noun,"honey; honeydew; treacle, molasses; sorbitol (when visible as dark patches inside an apple)",jlpt-n1
鉛,lead (Pb),鉛[なまり],Noun,,jlpt-n1
装飾,"ornament, decoration",装飾[そうしょく],"Noun, Suru verb, No-adjective",,jlpt-n1
共鳴,"resonance, sympathetic (sound), (being in) sympathy",共鳴[きょうめい],"Noun, Suru verb",,jlpt-n1
農地,"agricultural land, farmland",農地[のうち],Noun,,jlpt-n1
義理,"duty, sense of duty, honor, honour, decency, courtesy, debt of gratitude, social obligation",義理[ぎり],"Noun, No-adjective","in-law, relation by marriage",jlpt-n1
戸籍,family register,戸籍[こせき],Noun,census,jlpt-n1
差異,"difference, disparity, gap",差異[さい],Noun,,jlpt-n1
化石,fossil,化石[かせき],Noun,"petrifaction, petrification, fossilization, fossilisation",jlpt-n1
迫害,"persecution, oppression",迫害[はくがい],"Noun, Suru verb",,jlpt-n1
地形,"terrain, geographical features, topography",地形[ちけい],Noun,,jlpt-n1
国土,"country, territory, domain, realm",国土[こくど],Noun,,jlpt-n1
旅客,passenger,旅客[りょかく],Noun,"traveller, traveler, tourist",jlpt-n1
音色,"tone color, tone colour, tone quality, timbre",音色[ねいろ],Noun,,jlpt-n1
錯覚,"optical illusion, hallucination",錯覚[さっかく],"Noun, Suru verb, No-adjective","misapprehension, delusion",jlpt-n1
行政,"administration, governance, the authorities, authority",行政[ぎょうせい],Noun,,jlpt-n1
処罰,"punishment, penalty",処罰[しょばつ],"Noun, Suru verb",,jlpt-n1
棄権,"abstention (from voting), renunciation (of a right), withdrawal (from a contest)",棄権[きけん],"Noun, Suru verb",,jlpt-n1
炒める,"to fry, to saute, to stir-fry",炒[いた]める,"Ichidan verb, Transitive verb",,jlpt-n1
融資,"financing, loan",融資[ゆうし],"Noun, Suru verb",,jlpt-n1
工学,engineering,工学[こうがく],Noun,,jlpt-n1
繊維,"fibre, fiber, textile",繊維[せんい],"Noun, No-adjective",,jlpt-n1
怪獣,monster,怪獣[かいじゅう],Noun,,jlpt-n1
合唱,"chorus, singing in a chorus",合唱[がっしょう],"Noun, Suru verb, No-adjective",,jlpt-n1
沼,"marsh, swamp, wetland, bog, pond",沼[ぬま],Noun,"being hooked (on a video game, TV show, etc.)",jlpt-n1
窒息,"suffocation, choking, asphyxia",窒息[ちっそく],"Noun, Suru verb, No-adjective",,jlpt-n1
脚本,"script, screenplay, scenario",脚本[きゃくほん],Noun,,jlpt-n1
送金,"remittance, sending money",送金[そうきん],"Noun, Suru verb",,jlpt-n1
修士,master's (academic degree),修士[しゅうし],"Noun, No-adjective",,jlpt-n1
格,"status, position, rank",格[かく],"Noun, Noun - used as a suffix","method, way, style; rule, regulation, law; grammatical case; figure (syllogism)",jlpt-n1
共感,"sympathy, empathy, response",共感[きょうかん],"Noun, Suru verb, No-adjective",,jlpt-n1
拡散,"scattering, diffusion, spread (e.g. signal across the spectrum)",拡散[かくさん],"Noun, Suru verb, No-adjective",,jlpt-n1
封鎖,blockade,封鎖[ふうさ],"Noun, Suru verb",freezing (funds),jlpt-n1
岩石,rock,岩石[がんせき],Noun,,jlpt-n1
同志,"like-mindedness, (being of the) same mind, shared sentiment",同志[どうし],Noun,"comrade, fellow, kindred soul",jlpt-n1
衛生,"hygiene, sanitation, health",衛生[えいせい],Noun,,jlpt-n1
軌範,"model, standard, pattern, norm, criterion, example",軌範[きはん],Noun,,jlpt-n1
主体,"main constituent, core, nucleus",主体[しゅたい],Noun,"subject (philosophical), protagonist",jlpt-n1
参議院,House of Councillors (upper house of the National Diet of Japan),参議院[さんぎいん],Noun,,jlpt-n1
給食,"provision of lunch (e.g. at office, school, etc.), providing a meal, lunch service",給食[きゅうしょく],"Noun, Suru verb",,jlpt-n1
没収,"forfeiture, seizure, confiscation, impounding",没収[ぼっしゅう],"Noun, Suru verb, No-adjective",,jlpt-n1
溶液,solution (liquid),溶液[ようえき],Noun,,jlpt-n1
炭素,carbon (C),炭素[たんそ],"Noun, No-adjective",,jlpt-n1
手錠,"handcuffs, manacles",手錠[てじょう],Noun,,jlpt-n1
刑罰,"judgement, judgment, penalty, punishment",刑罰[けいばつ],"Noun, No-adjective",,jlpt-n1
楽譜,"score, sheet music",楽譜[がくふ],Noun,,jlpt-n1
定食,"set meal, special (of the day)",定食[ていしょく],Noun,,jlpt-n1
保守,maintenance,保守[ほしゅ],"Noun, Suru verb","conservatism, conservativeness, conservation",jlpt-n1
動力,"power, motive power, dynamic force",動力[どうりょく],"Noun, Noun or verb acting prenominally",three-phase electricity,jlpt-n1
執着,"attachment, adhesion, tenacity, fixation, obsession",執着[しゅうちゃく],"Noun, Suru verb",,jlpt-n1
禅,dhyana (profound meditation),禅[ぜん],Noun,Zen (Buddhism),jlpt-n1
