Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
日付,"date, dating",日付[ひづけ],Noun,,jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
切り,"end, finish, stop",切[き]り,Noun,"bounds, limits; delivery date (of a futures contract); finale (of a noh song), end of an act (in jōruri or kabuki), final performance of the day (in vaudeville); counter for slices (esp. thick slices), counter for cuts (e.g. fish, meat); only, just; since, after; remaining (in a particular state)",jlpt-n1
農場,farm (agriculture),農場[のうじょう],Noun,,jlpt-n1
惑星,planet,惑星[わくせい],Noun,Wakusei,jlpt-n1
尾,"tail (animal, kite, comet, etc.), tail end",尾[お],Noun,slope at the foot of a mountain,jlpt-n1
矢,arrow,矢[や],Noun,"wedge, chock",jlpt-n1
並行,"going side-by-side, going abreast",並行[へいこう],"Noun, Suru verb, No-adjective","running concurrently, occurring at the same time, keeping pace with",jlpt-n2 jlpt-n1
地獄,hell,地獄[じごく],Noun,,jlpt-n1
津波,"tsunami, tidal wave",津波[つなみ],Noun,,jlpt-n1
銅,copper (Cu),銅[どう],Noun,bronze (medal),jlpt-n2 jlpt-n1
皇居,"Imperial Palace (of Japan), imperial residence",皇居[こうきょ],Noun,,jlpt-n1
仏像,"statue of Buddha, image of Buddha, Buddhist statue, Buddhist image",仏像[ぶつぞう],Noun,,jlpt-n1
流通,"circulation (money, goods, etc.), distribution",流通[りゅうつう],"Noun, Suru verb, No-adjective","circulation (air, water, etc.), ventilation, flow; negotiable (e.g. shares), distributional, circulating",jlpt-n1
見合い,"formal marriage interview, marriage meeting",見合[みあ]い,"Noun, Suru verb",,jlpt-n1
海運,"maritime, marine transportation",海運[かいうん],"Noun, No-adjective",,jlpt-n1
水源,"source of river, fountainhead",水源[すいげん],Noun,,jlpt-n1
黄金,gold (Au),黄金[おうごん],Noun,"golden, prosperous, excellent, superb; money (esp. ōban coin), cash",jlpt-n1
嬢,unmarried woman,嬢[じょう],Noun,"Miss; -ess, -ette",jlpt-n1
振り,"swing, shake, wave, swinging",振[ふ]り,"Noun, Counter","appearance, behaviour; pretence (pretense), show, pretending (to); going to restaurant, hotel etc. without a reservation or introduction; move (dance), postures; lead in (e.g. to a running joke, asking a question), lead up; unsewn part of a hanging sleeve on a traditional Japanese woman's garment; counter for swords, blades, etc.; not wearing underwear or pants",jlpt-n1
死,"death, decease",死[し],"Noun, Noun - used as a suffix",death penalty (by strangulation or decapitation); (an) out,jlpt-n1
