Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
程,"degree, extent, bounds, limit",程[ほど],"Adverbial noun, Noun",upper limit,jlpt-n3 jlpt-n3
正直,"honest, frank, candid, straightforward",正直[しょうじき],"Na-adjective, Noun","honestly, frankly",jlpt-n3 jlpt-n3
一致,"coincidence, agreement, union, match",一致[いっち],"Noun, Suru verb","conformity, consistency; cooperation",jlpt-n3 jlpt-n3
博物館,museum,博物館[はくぶつかん],Noun,,jlpt-n3 jlpt-n3
皿,"plate, dish, platter, disc",皿[さら],Noun,"serving, helping, course; kanji radical 108 (at the bottom)",jlpt-n3 jlpt-n3
舞台,"stage (theatre, theater)",舞台[ぶたい],Noun,"scene or setting (e.g. of novel, play, etc.)",jlpt-n3 jlpt-n3
寄付,"contribution, donation",寄付[きふ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
猿,"monkey (esp. the Japanese macaque, Macaca fuscata), ape, non-human primate",猿[さる],Noun,"sly person; idiot, hick; sliding wooden bolt (for holding a door or window shut); clasp used to control the height of a pot-hook; bathhouse prostitute",jlpt-n3 jlpt-n3
平等,"equality, impartiality, evenness",平等[びょうどう],"Na-adjective, No-adjective, Noun",,jlpt-n3 jlpt-n3
左右,left and right,左右[さゆう],"Noun, Suru verb","influence, control, domination",jlpt-n3 jlpt-n3
金属,metal,金属[きんぞく],Noun,,jlpt-n3 jlpt-n3
商人,"merchant, trader, tradesman, dealer, shopkeeper",商人[しょうにん],Noun,,jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
国境,"national border, provincial border",国境[こっきょう],"Noun, No-adjective",,jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
集団,"group, mass",集団[しゅうだん],Noun,,jlpt-n3 jlpt-n3
根,root (of a plant),根[ね],Noun,"root (of a tooth, hair, etc.), center (of a pimple, etc.); root (of all evil, etc.), source, origin, cause, basis; one's true nature; (fishing) reef",jlpt-n3 jlpt-n3
鎖,"chain, chains",鎖[くさり],Noun,,jlpt-n3 jlpt-n3
時,"time, hour, moment",時[とき],Noun,"occasion, case; chance, opportunity, season; the times, the age, the day; tense",jlpt-n3 jlpt-n3
元,"origin, source",元[もと],Noun,"base, basis, foundation, root; cause; ingredient, material; (somebody's) side, (somebody's) location; original cost (or capital, principal, etc.); (plant) root, (tree) trunk; first section of a waka; counter for blades of grass, tree trunks, etc., and for falcons (in falconry); handle (chopsticks, brush, etc.), grip",jlpt-n3 jlpt-n3
計画,"plan, project, schedule, scheme, program, programme",計画[けいかく],"Noun, Suru verb",,jlpt-n3 jlpt-n3
少年,"boy, juvenile, young boy, youth, lad",少年[しょうねん],Noun,,jlpt-n3 jlpt-n3
列車,"train, railway train",列車[れっしゃ],Noun,,jlpt-n3 jlpt-n3
健康,health,健康[けんこう],Noun,"healthy, sound, fit, wholesome",jlpt-n3 jlpt-n3
人間,"human being, person, man, mankind, humankind",人間[にんげん],Noun,character (of a person),jlpt-n3 jlpt-n3
結果,"result, consequence, outcome, effect",結果[けっか],"Adverbial noun, Temporal noun","coming to fruition, bearing fruit",jlpt-n3 jlpt-n3
理解,"understanding, comprehension, appreciation, sympathy",理解[りかい],"Noun, Suru verb",,jlpt-n3 jlpt-n3
少女,"little girl, maiden, young lady, female usually between 7 and 18 years old",少女[しょうじょ],Noun,female between 17 and 20 years old (ritsuryo period),jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
事実,"fact, truth, reality",事実[じじつ],"Adverbial noun, Noun",,jlpt-n3 jlpt-n3
食事,"meal, dinner",食事[しょくじ],"Noun, Suru verb",diet,jlpt-n3 jlpt-n3
人生,(human) life (i.e. conception to death),人生[じんせい],Noun,,jlpt-n3 jlpt-n3
母親,mother,母親[ははおや],"Noun, No-adjective",,jlpt-n3 jlpt-n3
行動,"action, conduct, behaviour, behavior, mobilization, mobilisation",行動[こうどう],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
父親,father,父親[ちちおや],Noun,,jlpt-n3 jlpt-n3
太陽,sun,太陽[たいよう],Noun,,jlpt-n3 jlpt-n3
幸福,"happiness, well-being, joy, welfare, blessedness",幸福[こうふく],"Noun, Na-adjective",,jlpt-n3 jlpt-n3
政府,"government, administration",政府[せいふ],Noun,,jlpt-n3 jlpt-n3
