Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
経験,experience,経験[けいけん],"Noun, Suru verb",,jlpt-n3 jlpt-n3
責任,"duty, responsibility (incl. supervision of staff)",責任[せきにん],Noun,"liability, onus",jlpt-n3 jlpt-n3
我慢,"patience, endurance, perseverance, tolerance, self-control, self-denial",我慢[がまん],"Noun, Suru verb",,jlpt-n3 jlpt-n3
噂,"rumour, rumor, report, hearsay, gossip, common talk",噂[うわさ],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
道路,"road, highway",道路[どうろ],Noun,,jlpt-n3 jlpt-n3
機械,"machine, mechanism",機械[きかい],Noun,"instrument, appliance, apparatus",jlpt-n3 jlpt-n2 jlpt-n3 jlpt-n2
地球,"the earth, the globe",地球[ちきゅう],"Noun, No-adjective",,jlpt-n3 jlpt-n3
秘密,"secret, secrecy, confidentiality, privacy",秘密[ひみつ],"Noun, Na-adjective, No-adjective",mystery; secret (e.g. to success); esoteric teachings,jlpt-n3 jlpt-n3
偶然,"coincidence, chance, accident, fortuity",偶然[ぐうぜん],"Noun, Na-adjective, No-adjective","by chance, unexpectedly, accidentally; contingency (philosophy)",jlpt-n3 jlpt-n3
情報,"information, news, intelligence, advices",情報[じょうほう],Noun,"information, data contained in characters, signals, code, etc.",jlpt-n3 jlpt-n3
現在,"now, current, present, present time, as of",現在[げんざい],"Adverbial noun, Temporal noun",,jlpt-n3 jlpt-n3
昼食,"lunch, midday meal",昼食[ちゅうしょく],Noun,food served at a tea party (tea ceremony),jlpt-n3 jlpt-n3
期待,"expectation, anticipation, hope",期待[きたい],"Noun, Suru verb",,jlpt-n3 jlpt-n3
嵐,"storm, tempest",嵐[あらし],Noun,"storm, hullaballoo, uproar, winds (e.g. of change)",jlpt-n3 jlpt-n3
丘,"hill, height, knoll, rising ground",丘[おか],Noun,bonus points awarded to the winner at the end of a game,jlpt-n3 jlpt-n3
運動,"exercise, physical training, work-out",運動[うんどう],"Noun, Suru verb","appeal, campaign, drive, crusade, movement, lobbying; motion, movement",jlpt-n3 jlpt-n3
大統領,"president (of a nation or company), chief executive",大統領[だいとうりょう],Noun,"big man, boss, buddy, mate",jlpt-n3 jlpt-n3
演説,"speech, address",演説[えんぜつ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
神,"god, deity, divinity, spirit, kami",神[かみ],Noun,"incredible, fantastic, amazing; emperor of Japan; thunder",jlpt-n3 jlpt-n3
馬,horse,馬[うま],Noun,horse racing; promoted bishop,jlpt-n3 jlpt-n3
読書,reading,読書[どくしょ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
詩,"poem, verse of poetry",詩[し],Noun,,jlpt-n3 jlpt-n3
知識,"knowledge, information",知識[ちしき],Noun,,jlpt-n3 jlpt-n3
嘘,"lie, fib, falsehood, untruth",嘘[うそ],"Noun, No-adjective","mistake, error; unwise move, bad decision; No way!, Unbelievable!, Really?!",jlpt-n3 jlpt-n3
都市,"town, city, municipal, urban",都市[とし],"Noun, No-adjective",,jlpt-n3 jlpt-n3
収入,"income, receipts, revenue",収入[しゅうにゅう],Noun,,jlpt-n3 jlpt-n3
詩人,poet,詩人[しじん],Noun,,jlpt-n3 jlpt-n3
涙,"tear, tears, lachrymal secretion",涙[なみだ],Noun,sympathy,jlpt-n3 jlpt-n3
円,"yen, Japanese monetary unit",円[えん],Noun,circle,jlpt-n3
酒,"alcohol, sake",酒[さけ],Noun,,jlpt-n3 jlpt-n3
勇気,"courage, bravery, valour, valor, nerve, boldness",勇気[ゆうき],Noun,,jlpt-n3 jlpt-n3
発見,"discovery, detection, finding",発見[はっけん],"Noun, Suru verb",,jlpt-n3 jlpt-n3
解決,"settlement, solution, resolution",解決[かいけつ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
学者,scholar,学者[がくしゃ],"Noun, No-adjective",,jlpt-n3 jlpt-n3
患者,patient,患者[かんじゃ],Noun,,jlpt-n3 jlpt-n3
存在,"existence, being",存在[そんざい],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
信頼,"reliance, trust, faith, confidence",信頼[しんらい],"Noun, Suru verb",,jlpt-n3 jlpt-n3
言語,language,言語[げんご],Noun,,jlpt-n3 jlpt-n3
海外,"foreign, abroad, overseas",海外[かいがい],"Noun, No-adjective",,jlpt-n3 jlpt-n3
作家,"author, writer, novelist, artist",作家[さっか],Noun,,jlpt-n3 jlpt-n3
平和,"peace, harmony",平和[へいわ],"Na-adjective, Noun",,jlpt-n3 jlpt-n3
希望,"hope, wish, aspiration",希望[きぼう],"Noun, Suru verb",,jlpt-n3 jlpt-n3
調査,"investigation, examination, inquiry, enquiry, survey",調査[ちょうさ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
地域,"area, region",地域[ちいき],Noun,,jlpt-n3 jlpt-n3
気候,climate,気候[きこう],Noun,,jlpt-n3 jlpt-n3
愛,"love, affection, care",愛[あい],"Noun, Noun - used as a suffix","attachment, craving, desire",jlpt-n3 jlpt-n3
実験,experiment,実験[じっけん],"Noun, Suru verb",,jlpt-n3 jlpt-n3
権利,"right, privilege",権利[けんり],Noun,,jlpt-n3 jlpt-n3
国民,"people (of a country), nation, citizen, national",国民[こくみん],Noun,,jlpt-n3 jlpt-n3
騒音,noise,騒音[そうおん],Noun,,jlpt-n3 jlpt-n3
義務,"duty, obligation, responsibility",義務[ぎむ],"Noun, No-adjective",,jlpt-n3 jlpt-n3
釣り,"fishing, angling",釣[つ]り,Noun,"change (for a purchase); trolling, writing deliberately inflammatory posts online",jlpt-n3 jlpt-n1
胸,"chest, breast",胸[むね],Noun,"breasts, bosom, bust; heart; lungs; stomach; heart, mind, feelings",jlpt-n3 jlpt-n3
利益,"profit, gains",利益[りえき],"Noun, Suru verb","benefit, advantage, interest (of the public, etc.); grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.), blessing, miracle",jlpt-n3 jlpt-n3
物価,"prices of commodities, prices (in general), cost-of-living",物価[ぶっか],Noun,,jlpt-n3 jlpt-n3
過去,"the past, bygone days, the previous",過去[かこ],"Noun, No-adjective","a past (i.e. a personal history one would prefer remained secret), one's past; past (tense), preterit, preterite; previous life",jlpt-n3 jlpt-n3
植物,"plant, vegetation",植物[しょくぶつ],Noun,,jlpt-n3 jlpt-n3
教授,professor,教授[きょうじゅ],Noun,"teaching, instruction",jlpt-n3 jlpt-n3
発明,invention,発明[はつめい],"Noun, Suru verb","intelligent, clever; being enlightened, having the meaning of everything become clear",jlpt-n3 jlpt-n3
氷,ice,氷[こおり],Noun,shaved ice (usually served with flavored simple syrup),jlpt-n3 jlpt-n3
石油,"oil, petroleum, kerosene",石油[せきゆ],Noun,,jlpt-n3 jlpt-n3
痛み,"pain, ache, soreness, grief, distress",痛[いた]み,Noun,"damage, injury, wear, bruise, break",jlpt-n3 jlpt-n3
進歩,"progress, advance, improvement, development",進歩[しんぽ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
物語,"tale, story, legend",物語[ものがたり],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
感情,"emotion, feeling, feelings, sentiment",感情[かんじょう],"Noun, No-adjective",,jlpt-n3 jlpt-n3
週,week,週[しゅう],"Noun, Noun - used as a suffix",,jlpt-n3 jlpt-n3
屋根,roof,屋根[やね],Noun,,jlpt-n3 jlpt-n3
議長,"chairman, speaker (e.g. of assembly), president (e.g. of council, senate, etc.), moderator (e.g. of a newsgroup)",議長[ぎちょう],Noun,,jlpt-n3 jlpt-n3
恐怖,"fear, dread, dismay, terror, horror, scare, panic",恐怖[きょうふ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
費用,"cost, expense",費用[ひよう],Noun,,jlpt-n3 jlpt-n3
否定,"denial, negation, repudiation, disavowal",否定[ひてい],"Noun, Suru verb, No-adjective",negation (logic); NOT operation,jlpt-n3 jlpt-n3
商品,"commodity, article of commerce, goods, stock, merchandise",商品[しょうひん],Noun,,jlpt-n3 jlpt-n3
作品,"work (e.g. book, film, composition, etc.), opus, performance, production",作品[さくひん],Noun,,jlpt-n3 jlpt-n3
賞,"prize, award",賞[しょう],"Noun, Noun - used as a suffix",,jlpt-n3 jlpt-n3
城,castle,城[しろ],Noun,,jlpt-n3 jlpt-n3
価格,"price, value, cost",価格[かかく],Noun,,jlpt-n3 jlpt-n3
留学,studying abroad,留学[りゅうがく],"Noun, Suru verb",,jlpt-n3 jlpt-n3
犯罪,"crime, offence, offense",犯罪[はんざい],"Noun, No-adjective",,jlpt-n3 jlpt-n3
肩,shoulder,肩[かた],Noun,,jlpt-n3 jlpt-n3
意志,"will, volition, intention, intent, determination",意志[いし],Noun,,jlpt-n3 jlpt-n3
正午,"noon, midday",正午[しょうご],"Adverbial noun, Temporal noun",,jlpt-n3 jlpt-n3
評価,"valuation, estimation, assessment, evaluation, rating",評価[ひょうか],Noun,"to value, to assess, to rate, to estimate value; to appreciate, to value highly, to acknowledge the value (of something)",jlpt-n3 jlpt-n3
職業,"occupation, business",職業[しょくぎょう],"Noun, No-adjective",,jlpt-n3 jlpt-n3
家具,furniture,家具[かぐ],Noun,,jlpt-n3 jlpt-n3
不安,"anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense",不安[ふあん],"Noun, Na-adjective",,jlpt-n3 jlpt-n3
首相,"Prime Minister, Chancellor (Germany, Austria, etc.), Premier",首相[しゅしょう],Noun,,jlpt-n3 jlpt-n3
劇場,"theatre, theater, playhouse",劇場[げきじょう],"Noun, No-adjective",,jlpt-n3 jlpt-n3
自然,nature,自然[しぜん],Noun,"natural, spontaneous, automatic; naturally, spontaneously, automatically",jlpt-n3 jlpt-n3
意識,consciousness,意識[いしき],"Noun, Suru verb","becoming aware (of), awareness, sense; mano-vijnana (mental consciousness, cognizer of sensory information)",jlpt-n3 jlpt-n3
自殺,suicide,自殺[じさつ],"Noun, No-adjective, Suru verb",,jlpt-n3 jlpt-n3
爆発,"explosion, detonation, eruption",爆発[ばくはつ],"Noun, Suru verb","eruption (of discontent, etc.), outburst, outpouring",jlpt-n3 jlpt-n3
逮捕,"arrest, apprehension, capture",逮捕[たいほ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
論文,"thesis, essay, treatise, paper, article",論文[ろんぶん],Noun,,jlpt-n3 jlpt-n3
記録,"record, minutes, document",記録[きろく],Noun,"record (e.g. in sports), results, score; to record, to document; to set a record (e.g. in sports), to show a result, to reach a value",jlpt-n3 jlpt-n3
世紀,century,世紀[せいき],Noun,era,jlpt-n3 jlpt-n3
頭痛,headache,頭痛[ずつう],Noun,,jlpt-n3 jlpt-n3
契約,"contract, compact, agreement",契約[けいやく],"Noun, Suru verb",,jlpt-n3 jlpt-n3
精神,"mind, spirit, soul, heart, ethos",精神[せいしん],Noun,"attitude, mentality, will, intention; spirit (of a matter), essence, fundamental significance",jlpt-n3 jlpt-n3
牛,"cattle (Bos taurus), cow, bull, ox, calf",牛[うし],Noun,"""beef; Chinese """"Ox"""" constellation (one of the 28 mansions)""",jlpt-n3 jlpt-n3
俳優,"actor, actress, player, performer",俳優[はいゆう],"Noun, No-adjective",,jlpt-n3 jlpt-n3
記憶,"memory, recollection, remembrance",記憶[きおく],"Noun, Suru verb",storage,jlpt-n3 jlpt-n3
独立,"independence, self-reliance, supporting oneself, being on one's own",独立[どくりつ],"Noun, Suru verb","independence (e.g. of a nation), freedom; separation, isolation",jlpt-n3 jlpt-n3
優勝,"overall victory, championship",優勝[ゆうしょう],"Noun, Suru verb",,jlpt-n3 jlpt-n3
額,picture (framed),額[がく],"Noun, Noun - used as a suffix",amount or sum (of money),jlpt-n3 jlpt-n3
公平,"fairness, impartiality, justice, objectivity",公平[こうへい],"Noun, Na-adjective",,jlpt-n3 jlpt-n3
州,"state, province, county, oblast, department (of ancient China)",州[しゅう],"Noun, Noun - used as a suffix",continent; dear,jlpt-n3 jlpt-n3
生命,"life, existence",生命[せいめい],Noun,,jlpt-n3 jlpt-n3
強盗,"robber, mugger",強盗[ごうとう],Noun,"robbery, burglary",jlpt-n3 jlpt-n3
命令,"order, command, decree, directive",命令[めいれい],"Noun, Suru verb","(software) instruction, statement",jlpt-n3 jlpt-n3
記事,"article, news story, report, account",記事[きじ],Noun,,jlpt-n3 jlpt-n3
輸入,"import, importation, introduction",輸入[ゆにゅう],"Noun, Suru verb",afferent,jlpt-n3 jlpt-n3
銃,"gun, rifle, small arms",銃[じゅう],Noun,,jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
医師,"doctor, physician",医師[いし],"Noun, No-adjective",,jlpt-n3 jlpt-n3
合図,"sign, signal, cue",合図[あいず],"Noun, Suru verb",,jlpt-n3 jlpt-n3
宇宙,"universe, cosmos, space",宇宙[うちゅう],Noun,,jlpt-n3 jlpt-n3
計算,"calculation, reckoning, count",計算[けいさん],"Noun, Suru verb",forecast,jlpt-n3 jlpt-n3
禁煙,"abstaining from smoking, quitting smoking",禁煙[きんえん],"Noun, Suru verb, No-adjective","No Smoking!, Smoking Prohibited!",jlpt-n3 jlpt-n3
友情,"friendship, fellowship, camaraderie",友情[ゆうじょう],Noun,,jlpt-n3 jlpt-n3
現実,"reality, actuality, hard fact",現実[げんじつ],Noun,,jlpt-n3 jlpt-n3
握手,handshake,握手[あくしゅ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
方向,"direction, orientation, bearing, way",方向[ほうこう],Noun,course (e.g. of action),jlpt-n3 jlpt-n3
攻撃,"attack, assault, raid, onslaught, offensive",攻撃[こうげき],"Noun, Suru verb","criticism, censure, denunciation, condemnation",jlpt-n3 jlpt-n3
生物,"living thing, organism, creature, life",生物[せいぶつ],Noun,biology,jlpt-n3 jlpt-n3
訓練,"training, drill, practice, discipline",訓練[くんれん],"Noun, Suru verb",,jlpt-n3 jlpt-n3
企業,"enterprise, business, company, corporation",企業[きぎょう],Noun,,jlpt-n3 jlpt-n3
香り,"aroma, fragrance, scent, smell",香[かお]り,Noun,,jlpt-n3 jlpt-n3
芸術,"(fine) art, the arts",芸術[げいじゅつ],Noun,,jlpt-n3 jlpt-n3
役割,"part, assigning (allotment of) parts, role, duties",役割[やくわり],Noun,,jlpt-n3 jlpt-n3
羽,"feather, plume, down",羽[はね],Noun,"wing; blade (of a fan, propeller, etc.); shuttlecock; arrow feathers",jlpt-n3 jlpt-n2 jlpt-n3 jlpt-n2
波,wave,波[なみ],Noun,ups and downs,jlpt-n3 jlpt-n3
流れ,"flow (of a fluid or gas), stream, current",流[なが]れ,Noun,"flow (of people, things), passage (of time), tide, passing, (changing) trends, tendency; course (of events), (step-by-step) procedure, process; group of people who remain together after the end of an event; descent, ancestry, school; forfeiture, foreclosure; cancellation; drifting, wandering, roaming",jlpt-n3 jlpt-n3
個人,"individual, private person, personal, private",個人[こじん],"Noun, No-adjective",,jlpt-n3 jlpt-n3
広告,advertisement,広告[こうこく],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
無料,"free (of charge), gratuitous",無料[むりょう],"No-adjective, Noun",,jlpt-n3 jlpt-n3
署名,signature,署名[しょめい],"Noun, Suru verb",,jlpt-n3 jlpt-n3
王様,king,王様[おうさま],Noun,,jlpt-n3 jlpt-n3
駐車,parking (e.g. car),駐車[ちゅうしゃ],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
証明,"proof, verification, certification",証明[しょうめい],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
宝石,"gem, jewel, precious stone",宝石[ほうせき],"Noun, No-adjective",,jlpt-n3 jlpt-n3
現金,"cash, ready money, money on hand, currency",現金[げんきん],Noun,"mercenary, self-interested, calculating",jlpt-n3 jlpt-n3
話題,"topic, subject",話題[わだい],"Noun, No-adjective",,jlpt-n3 jlpt-n3
芝居,"play, drama",芝居[しばい],Noun,,jlpt-n3 jlpt-n3
博士,"expert, learned person",博士[はかせ],Noun,"doctor, PhD, Dr.; instructor at the imperial court (ritsuryo period); pitch and length marks (to accompany a Buddhist liturgical chant, etc.)",jlpt-n3 jlpt-n3
出版,publication,出版[しゅっぱん],"Noun, Suru verb",,jlpt-n3 jlpt-n3
塔,"tower, steeple, spire",塔[とう],"Noun, Noun - used as a suffix","stupa, pagoda, dagoba",jlpt-n3 jlpt-n3
保証,"guarantee, security, assurance, pledge, warranty",保証[ほしょう],"Noun, Suru verb",,jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
競技,"game, match, contest",競技[きょうぎ],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
軍隊,"armed forces, military, troops",軍隊[ぐんたい],Noun,,jlpt-n3 jlpt-n3
投票,"voting, poll",投票[とうひょう],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
離婚,divorce,離婚[りこん],"Noun, Suru verb",,jlpt-n3 jlpt-n3
診察,medical examination,診察[しんさつ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
年寄り,"old person, elderly person, senior citizen",年寄[としよ]り,"Noun, No-adjective","trustee of the Japan Sumo Association, retired high-ranking wrestler who is licensed to coach and receives retirement pay; senior statesman (of the Tokugawa shogunate); important local official (under the Tokugawa Shogunate)",jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
心臓,heart,心臓[しんぞう],"Noun, No-adjective","guts, nerve, cheek, gall, spine; central part",jlpt-n3 jlpt-n3
衝突,"collision, crash, running into",衝突[しょうとつ],"Noun, Suru verb","conflict, quarrel, clashing",jlpt-n3 jlpt-n3
影,"shadow, silhouette, figure, shape",影[かげ],Noun,"reflection, image; ominous sign; light (stars, moon); trace, shadow (of one's former self)",jlpt-n3 jlpt-n3
販売,"sales, selling, marketing",販売[はんばい],"Noun, Suru verb",,jlpt-n3 jlpt-n3
平均,"average, mean",平均[へいきん],"Noun, Suru verb","balance, equilibrium",jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
輸出,"export, exportation",輸出[ゆしゅつ],"Noun, Suru verb",efferent,jlpt-n3 jlpt-n3
型,"model, type (e.g. of machine, goods, etc.)",型[かた],Noun,"type, style, pattern; mold (mould), template, model; kata (standard form of a movement, posture, etc. in martial arts, sport, etc.); form (i.e. customary procedure); size (i.e. clothing, shoes); inch (in diagonal display size); (taxonomical) form",jlpt-n3 jlpt-n3
冒険,"adventure, venture",冒険[ぼうけん],"Noun, Suru verb","venture which is unlikely to succeed, risky attempt, danger, hazard, risk",jlpt-n3 jlpt-n3
永遠,"eternity, perpetuity, permanence, immortality",永遠[えいえん],"Noun, No-adjective, Na-adjective",,jlpt-n3 jlpt-n3
表情,"facial expression, countenance",表情[ひょうじょう],Noun,"look, appearance, expression (vocal, etc.)",jlpt-n3 jlpt-n3
未来,the future (usually distant),未来[みらい],"Noun, No-adjective",future tense; the world to come,jlpt-n3 jlpt-n3
胃,stomach,胃[い],Noun,"""Chinese """"stomach"""" constellation (one of the 28 mansions)""",jlpt-n3 jlpt-n3
小屋,"hut, cabin, shed, (animal) pen",小屋[こや],Noun,"small theatre (theater), temporary playhouse, circus tent, booth; one's own house",jlpt-n3 jlpt-n3
畑,"field (for fruits, vegetables, etc.), cultivated land, vegetable plot, kitchen garden, plantation",畑[はたけ],Noun,"field (of specialization), sphere, area; womb, birth, birthplace",jlpt-n3 jlpt-n3
制度,"system, institution, organization, organisation",制度[せいど],"Noun, No-adjective",,jlpt-n3 jlpt-n3
通学,"commuting to school, school commute",通学[つうがく],"Noun, Suru verb",,jlpt-n3 jlpt-n3
改善,"betterment, improvement",改善[かいぜん],"Noun, Suru verb, No-adjective",kaizen (Japanese business philosophy of continuous improvement),jlpt-n3 jlpt-n3
虎,tiger (Panthera tigris),虎[とら],Noun,"drunkard, drunk, sot",jlpt-n3 jlpt-n3
放送,"broadcast, broadcasting",放送[ほうそう],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
信号,"signal, signalling, signaling",信号[しんごう],"Noun, Suru verb","traffic light, traffic signal",jlpt-n3 jlpt-n3
籠,"basket (shopping, etc.), hamper, cage",籠[かご],Noun,,jlpt-n3 jlpt-n3
観客,"audience, spectator, spectators",観客[かんきゃく],Noun,,jlpt-n3 jlpt-n3
文字,"letter (of alphabet), character",文字[もじ],Noun,writing,jlpt-n3 jlpt-n3
鉄道,"railroad, railway, rail transport",鉄道[てつどう],Noun,,jlpt-n3 jlpt-n3
収穫,"harvest, crop, ingathering",収穫[しゅうかく],"Noun, Suru verb","fruits (of one's labors), gain, result, returns",jlpt-n3 jlpt-n3
中心,"center, centre, middle, heart, core, focus, pivot, emphasis, balance",中心[ちゅうしん],"Noun, No-adjective","-centered, -centred, -focused, -oriented, centered on, focused on",jlpt-n3 jlpt-n3
雷,"lightning, thunder, thunderbolt",雷[かみなり],Noun,"god of thunder, god of lightning; anger, fit of anger",jlpt-n3 jlpt-n1 jlpt-n3 jlpt-n1
建設,"construction, establishment",建設[けんせつ],"Noun, Suru verb",,jlpt-n3 jlpt-n3
袋,"bag, sack, pouch",袋[ふくろ],Noun,skin of an orange (and other like fruits); dead end; plot of land surrounded by water,jlpt-n3 jlpt-n3
節約,"economising, saving",節約[せつやく],"Noun, Suru verb",,jlpt-n3 jlpt-n3
化学,chemistry,化学[かがく],"Noun, No-adjective",,jlpt-n3 jlpt-n3
国家,"state, country, nation",国家[こっか],Noun,,jlpt-n3 jlpt-n3
睡眠,sleep,睡眠[すいみん],"Noun, No-adjective",,jlpt-n3 jlpt-n3
教科書,"textbook, coursebook, schoolbook",教科書[きょうかしょ],Noun,,jlpt-n3 jlpt-n3
毒,"poison, toxicant",毒[どく],Noun,"harm, evil influence; ill will, spite, malice; abusive language",jlpt-n3 jlpt-n3
油,oil,油[あぶら],Noun,,jlpt-n3 jlpt-n3
単位,"unit, denomination",単位[たんい],Noun,"""credit (in school); in units of (e.g. """"in thousands""""), in amounts of""",jlpt-n3 jlpt-n3
座席,seat,座席[ざせき],"Noun, No-adjective",,jlpt-n3 jlpt-n3
常識,"common sense, good sense, common knowledge, general knowledge, common practice, accepted practice, social etiquette",常識[じょうしき],Noun,,jlpt-n3 jlpt-n3
郵便,"mail service, postal service, mail, post",郵便[ゆうびん],Noun,"mail, postal matter, postal items",jlpt-n3 jlpt-n3
家事,"housework, domestic chores",家事[かじ],Noun,"family affairs, household matters",jlpt-n3 jlpt-n3
運,"fortune, luck",運[うん],Noun,,jlpt-n3 jlpt-n3
労働,"manual labor, manual labour, toil, work",労働[ろうどう],"Noun, Suru verb, No-adjective",Labour Party,jlpt-n3 jlpt-n3
誕生,"birth, creation, formation",誕生[たんじょう],"Noun, Suru verb",,jlpt-n3 jlpt-n3
観光,sightseeing,観光[かんこう],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
失業,unemployment,失業[しつぎょう],"Noun, Suru verb","losing one's job, becoming unemployed",jlpt-n3 jlpt-n3
数字,"numeral, figure, digit, numeric character",数字[すうじ],Noun,,jlpt-n3 jlpt-n3
学習,"study, learning, tutorial",学習[がくしゅう],"Noun, Suru verb",,jlpt-n3 jlpt-n3
食欲,appetite (for food),食欲[しょくよく],"Noun, No-adjective",,jlpt-n3 jlpt-n3
汗,"sweat, perspiration",汗[あせ],Noun,"moisture, condensation",jlpt-n3 jlpt-n3
知恵,"wisdom, wit, sagacity, sense, intelligence",知恵[ちえ],Noun,prajna (insight leading to enlightenment),jlpt-n3 jlpt-n3
毛布,blanket,毛布[もうふ],Noun,,jlpt-n3 jlpt-n3
婚約,"engagement, betrothal",婚約[こんやく],"Noun, Suru verb, No-adjective",,jlpt-n3 jlpt-n3
