Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
宿題,"homework, assignment",宿題[しゅくだい],Noun,"pending issue, unresolved problem, open question",jlpt-n5 jlpt-n5
雪,snow,雪[ゆき],Noun,,jlpt-n5 jlpt-n5
山,"mountain, hill",山[やま],"Noun, Counter","mine (e.g. coal mine); heap, pile; crown (of a hat), thread (of a screw), tread (of a tire), protruding part of an object; climax, peak, critical point; guess, speculation; criminal case, crime; mountain climbing, mountaineering; festival float (esp. one mounted with a decorative halberd); wall, wall tile; temple, temple grounds; wild",jlpt-n5 jlpt-n5
窓,window,窓[まど],Noun,,jlpt-n5 jlpt-n5
動物,animal,動物[どうぶつ],Noun,,jlpt-n5 jlpt-n5
夜,"evening, night",夜[よる],"Adverbial noun, Temporal noun",,jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
料理,"cooking, cookery, cuisine",料理[りょうり],"Noun, Suru verb","dealing with something, handling, administration, management",jlpt-n5 jlpt-n5
夏,summer,夏[なつ],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
新聞,newspaper,新聞[しんぶん],Noun,,jlpt-n5 jlpt-n5
公園,(public) park,公園[こうえん],Noun,,jlpt-n5 jlpt-n5
意味,"meaning, significance, sense",意味[いみ],"Noun, Suru verb",,jlpt-n5 jlpt-n5
自転車,bicycle,自転車[じてんしゃ],Noun,,jlpt-n5 jlpt-n5
足,foot,足[あし],Noun,"leg; gait; pace; bottom structural component (i.e. radical) of a kanji; means of transportation; money, coin",jlpt-n5 jlpt-n5
電車,"train, electric train",電車[でんしゃ],Noun,,jlpt-n5 jlpt-n5
散歩,"walk, stroll",散歩[さんぽ],"Noun, Suru verb",,jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
声,voice,声[こえ],Noun,"singing (of a bird), chirping (of an insect), hoot; voice, opinion (as expressed in words), view, wish, attitude, will; sound; sense (of something's arrival), feeling; voice, voiced sound",jlpt-n5 jlpt-n5
朝,morning,朝[あさ],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
歌,song,歌[うた],Noun,classical Japanese poetry (esp. tanka); modern poetry,jlpt-n5 jlpt-n5
靴,"shoe, shoes, boots, footwear, footgear",靴[くつ],Noun,,jlpt-n5 jlpt-n5
箱,"box, case, chest, package, pack, crate",箱[はこ],Noun,"car (of a train, etc.); shamisen case, shamisen; public building, community building; man who carries a geisha's shamisen; receptacle for human waste, feces (faeces); counter for boxes (or boxed objects)",jlpt-n5 jlpt-n5
机,desk,机[つくえ],Noun,,jlpt-n5 jlpt-n5
帽子,"hat, cap",帽子[ぼうし],Noun,,jlpt-n5 jlpt-n5
海,"sea, ocean, waters",海[うみ],Noun,,jlpt-n5 jlpt-n5
授業,"lesson, class work, teaching, instruction",授業[じゅぎょう],"Noun, Suru verb",,jlpt-n5 jlpt-n5
銀行,bank,銀行[ぎんこう],"Noun, No-adjective",,jlpt-n5 jlpt-n5
写真,"photograph, photo, picture, snapshot, snap",写真[しゃしん],Noun,movie,jlpt-n5 jlpt-n5
冬,winter,冬[ふゆ],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
村,village,村[むら],Noun,,jlpt-n5 jlpt-n5
傘,"umbrella, parasol",傘[かさ],Noun,"something shaped like an umbrella or a conical hat, shade (of a lamp), mushroom cap, pileus",jlpt-n5 jlpt-n5
口,mouth,口[くち],Noun,"opening, hole, gap, orifice; mouth (of a bottle), spout, nozzle, mouthpiece; gate, door, entrance, exit; speaking, speech, talk (i.e. gossip); taste, palate; mouth (to feed); opening (i.e. vacancy), available position; invitation, summons; kind, sort, type; opening (i.e. beginning); counter for mouthfuls, shares (of money), and swords",jlpt-n5 jlpt-n5
橋,bridge,橋[はし],Noun,,jlpt-n5 jlpt-n5
病院,hospital,病院[びょういん],"Noun, No-adjective",,jlpt-n5 jlpt-n5
図書館,library,図書館[としょかん],Noun,,jlpt-n5 jlpt-n5
春,"spring, springtime",春[はる],"Adverbial noun, Temporal noun","New Year; prime (of one's life, etc.); adolescence, puberty; sexuality",jlpt-n5 jlpt-n5
買い物,"shopping, purchased goods",買[か]い 物[もの],Noun,,jlpt-n5 jlpt-n5
椅子,"chair, stool",椅子[いす],Noun,"post, office, position",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
自動車,automobile,自動車[じどうしゃ],Noun,,jlpt-n5 jlpt-n5
色,"colour, color, hue, tint, tinge, shade",色[いろ],Noun,"complexion, skin colour, skin color; look (on one's face), expression; appearance, air, feeling; personality, character; tone (of one's voice, etc.), tune, sound, ring; love, lust, sensuality, love affair; lover, paramour; beauty, sexiness, physical appeal; kind, type, variety",jlpt-n5 jlpt-n5
卵,"eggs, egg, spawn, roe",卵[たまご],Noun,"hen egg; (an expert) in the making; beginning, origin, infancy",jlpt-n5 jlpt-n5
肉,flesh,肉[にく],Noun,meat; the physical body (as opposed to the spirit); thickness; ink pad,jlpt-n5 jlpt-n5
風邪,"common cold, cold, influenza, flu, ague",風邪[かぜ],Noun,,jlpt-n5 jlpt-n5
掃除,"cleaning, sweeping, dusting, scrubbing",掃除[そうじ],"Noun, Suru verb",,jlpt-n5 jlpt-n5
紙,paper,紙[かみ],Noun,,jlpt-n5 jlpt-n5
鍵,key,鍵[かぎ],Noun,lock,jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
雑誌,"journal, magazine, periodical",雑誌[ざっし],Noun,,jlpt-n5 jlpt-n5
