Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
儀式,"ceremony, rite, ritual, service",儀式[ぎしき],"Noun, No-adjective",,jlpt-n2
南極,South Pole,南極[なんきょく],"Noun, No-adjective","the Antarctic, Antarctica",jlpt-n2
職人,"craftsman, artisan, tradesman, worker, workman",職人[しょくにん],Noun,,jlpt-n2
北極,North Pole,北極[ほっきょく],"Noun, No-adjective",the Arctic,jlpt-n2
新幹線,"Shinkansen, bullet train",新幹線[しんかんせん],Noun,,jlpt-n2 jlpt-n2
昼寝,"nap (afternoon), siesta",昼寝[ひるね],"Noun, Suru verb",,jlpt-n2
大通り,main street,大通[おおどお]り,Noun,,jlpt-n2
木材,"lumber, timber, wood",木材[もくざい],Noun,,jlpt-n2
運河,"(navigable) canal, waterway",運河[うんが],Noun,,jlpt-n2
遊園地,amusement park,遊園地[ゆうえんち],Noun,,jlpt-n2
天皇,Emperor of Japan,天皇[てんのう],Noun,,jlpt-n2 jlpt-n1
蛇口,"faucet, tap",蛇口[じゃぐち],Noun,,jlpt-n2
溶岩,lava,溶岩[ようがん],Noun,,jlpt-n2
武士,"warrior, samurai",武士[ぶし],Noun,,jlpt-n2
名字,"surname, family name",名字[みょうじ],Noun,,jlpt-n2
面接,interview (e.g. for a job),面接[めんせつ],"Noun, Suru verb",,jlpt-n2 jlpt-n2
資料,"materials, data, document",資料[しりょう],"Noun, No-adjective",,jlpt-n2
解放,"release, unleashing, liberation, emancipation, setting free",解放[かいほう],"Noun, Suru verb",deallocation (of computer memory),jlpt-n2
望遠鏡,telescope,望遠鏡[ぼうえんきょう],Noun,,jlpt-n2
唇,lips,唇[くちびる],Noun,,jlpt-n2
群れ,"group, crowd, flock, herd, bevy, school, swarm, cluster (e.g. of stars), clump, pack (e.g. of dogs)",群[む]れ,Noun,,jlpt-n2
液体,liquid,液体[えきたい],Noun,,jlpt-n2
温泉,hot spring,温泉[おんせん],Noun,"onsen, hot spring resort, hot spring spa",jlpt-n2 jlpt-n2
書店,"bookshop, bookstore",書店[しょてん],Noun,,jlpt-n2
過失,"error, blunder, accident",過失[かしつ],Noun,"fault, defect",jlpt-n2
広場,"plaza, (public) square, piazza, forum, open space",広場[ひろば],Noun,,jlpt-n2
通勤,commuting to work,通勤[つうきん],"Noun, Suru verb",,jlpt-n2
垣根,"hedge, fence",垣根[かきね],Noun,,jlpt-n2
煙突,"chimney, smokestack, funnel (of a ship), stovepipe",煙突[えんとつ],Noun,carrying a passenger without turning on the taximeter,jlpt-n2
井戸,water well,井戸[いど],Noun,,jlpt-n2
果実,"fruit, nut, berry",果実[かじつ],Noun,"fruits, profit",jlpt-n2
演劇,"drama, theatre, theater, play",演劇[えんげき],"Noun, No-adjective",,jlpt-n2
矛盾,"contradiction, inconsistency",矛盾[むじゅん],"Noun, Suru verb, No-adjective",,jlpt-n2
通訳,interpretation (i.e. oral translation),通訳[つうやく],"Noun, Suru verb",interpreter,jlpt-n2
皮膚,skin,皮膚[ひふ],"Noun, No-adjective",,jlpt-n2
宣伝,"publicity, advertisement, advertising, propaganda",宣伝[せんでん],"Noun, Suru verb",,jlpt-n2
電池,"battery, cell",電池[でんち],Noun,,jlpt-n2 jlpt-n2
通貨,currency,通貨[つうか],"Noun, No-adjective",,jlpt-n2
虹,rainbow,虹[にじ],Noun,,jlpt-n2
回転,"rotation (usu. around something), revolution, turning",回転[かいてん],"Noun, Suru verb",,jlpt-n2
競馬,horse racing,競馬[けいば],"Noun, No-adjective",,jlpt-n2
水素,hydrogen (H),水素[すいそ],Noun,,jlpt-n2
中世,"Middle Ages (in Japan esp. the Kamakura and Muromachi periods), medieval times, mediaeval times",中世[ちゅうせい],"Adverbial noun, Temporal noun",,jlpt-n2
観念,"idea, notion, concept, conception",観念[かんねん],Noun,"sense (e.g. of duty); resignation, preparedness, acceptance; observation and contemplation, meditation",jlpt-n2
火山,volcano,火山[かざん],"Noun, No-adjective",,jlpt-n2
相撲,sumo wrestling,相撲[すもう],Noun,"wrestler, rikishi",jlpt-n2
吹雪,"snow storm, blizzard",吹雪[ふぶき],Noun,,jlpt-n2
基礎,"foundation, basis",基礎[きそ],"Noun, No-adjective",,jlpt-n2
車庫,"garage, carport, depot (trains, buses, etc.)",車庫[しゃこ],Noun,,jlpt-n2
枕,"pillow, bolster",枕[まくら],"Noun, Noun - used as a suffix","introduction (e.g. to a rakugo story), lead-in",jlpt-n2
花火,fireworks,花火[はなび],Noun,,jlpt-n2
商業,"commerce, trade, business",商業[しょうぎょう],"Noun, No-adjective",,jlpt-n2
公害,"pollution, public nuisance, contamination",公害[こうがい],"Noun, No-adjective",,jlpt-n2
鐘,"bell (often a large hanging bell), chime",鐘[かね],Noun,,jlpt-n2
停電,"power outage, electricity outage, blackout, failure of electricity supply",停電[ていでん],"Noun, Suru verb",,jlpt-n2
空想,"daydream, fantasy, fancy, vision",空想[くうそう],"Noun, Suru verb, No-adjective",,jlpt-n2
政党,political party,政党[せいとう],"Noun, No-adjective",,jlpt-n2
角度,angle,角度[かくど],"Noun, No-adjective",,jlpt-n2
足跡,footprints,足跡[あしあと],Noun,record of page visitors (e.g. in social networking sites),jlpt-n2
名所,famous place,名所[めいしょ],Noun,"name of a part (of an instrument, etc.); name and address",jlpt-n2
公式,"formal, official",公式[こうしき],"No-adjective, Noun",formula (e.g. mathematical),jlpt-n2
公共,"public, community, public service, society, communal",公共[こうきょう],"Noun, No-adjective",,jlpt-n2
百科事典,"encyclopedia, encyclopaedia",百科事典[ひゃっかじてん],Noun,,jlpt-n2 jlpt-n1
牧場,"farm (livestock), ranch (US), station (Aus, NZ)",牧場[ぼくじょう],Noun,"pasture land, meadow, grazing land",jlpt-n2
蒸気,"steam, vapour, vapor",蒸気[じょうき],Noun,"steamboat, steam locomotive",jlpt-n2
車輪,(car) wheel,車輪[しゃりん],Noun,,jlpt-n2
