Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
紅葉,"autumn colours, fall colors, leaves changing color (colour)",紅葉[こうよう],"Noun, Suru verb","leaves turning red, red leaves; leaves turning yellow, yellow leaves; (Japanese) maple (Acer japonicum); venison; layered colors in garments, resembling autumn colors",jlpt-n2
強化,"strengthening, intensifying, reinforcement, enhancement, solidification",強化[きょうか],"Noun, Suru verb",,jlpt-n2
死体,"dead body, corpse, cadaver, carcass",死体[したい],Noun,,jlpt-n2
姿勢,"posture, pose, position, stance, carriage (of the body)",姿勢[しせい],Noun,"attitude, approach, stance",jlpt-n2
血液,blood,血液[けつえき],Noun,,jlpt-n2
看板,"signboard, sign, billboard, hoarding, doorplate",看板[かんばん],Noun,"draw, attraction, feature, highlight, spokesman, figurehead; reputation (of a shop), name; appearance, look, show; closing (for the day, esp. of a restaurant or bar), closing time",jlpt-n2
神話,"myth, legend",神話[しんわ],"Noun, No-adjective",,jlpt-n2
乗り換え,"transfer (trains, buses, etc.), connection, connexion",乗[の]り 換[か]え,"Noun, Suru verb","switching (stock); chromosomal crossover, crossing over",jlpt-n2 jlpt-n1 jlpt-n2 jlpt-n1
森林,"forest, woods",森林[しんりん],"Noun, No-adjective",,jlpt-n2
磁石,magnet,磁石[じしゃく],"Noun, No-adjective",compass,jlpt-n2
大工,carpenter,大工[だいく],Noun,,jlpt-n2
寺院,Buddhist temple,寺院[じいん],Noun,"religious building, church, cathedral, mosque",jlpt-n2
文体,literary style,文体[ぶんたい],Noun,"form of (written) language (e.g. classical, modern)",jlpt-n2
薬局,"pharmacy, drugstore, chemist's (shop)",薬局[やっきょく],Noun,"hospital pharmacy, dispensary",jlpt-n2
消化,digestion (of food),消化[しょうか],"Noun, Suru verb","digestion (of information), assimilation, thorough understanding; consumption, absorption, using up, meeting (e.g. a quota), completion; losing one's form and turning into something else",jlpt-n2
面積,"square measure, size (e.g. of land), area, surface",面積[めんせき],Noun,,jlpt-n2
顕微鏡,microscope,顕微鏡[けんびきょう],Noun,,jlpt-n2
寮,"hostel, dormitory",寮[りょう],Noun,bureau (government department beneath a ministry under the ritsuryo system),jlpt-n2 jlpt-n2
家屋,"house, building",家屋[かおく],Noun,,jlpt-n2
撮影,"photography (still or motion), photographing, filming, shooting, (video) recording",撮影[さつえい],"Noun, Suru verb",,jlpt-n2
酢,vinegar,酢[す],Noun,,jlpt-n2
滝,waterfall,滝[たき],Noun,rapids,jlpt-n2
電力,electric power,電力[でんりょく],Noun,,jlpt-n2
方言,dialect,方言[ほうげん],"Noun, No-adjective",,jlpt-n2 jlpt-n2
東洋,Orient,東洋[とうよう],"Noun, No-adjective",,jlpt-n2
給与,"pay, salary, wages",給与[きゅうよ],Noun,"allowance, grant, supply, providing with",jlpt-n2
診断,"diagnosis, medical examination",診断[しんだん],"Noun, Suru verb, No-adjective",,jlpt-n2
風船,"balloon (esp. small, toy variety)",風船[ふうせん],Noun,"airship, blimp",jlpt-n2
国籍,"nationality, citizenship",国籍[こくせき],Noun,"nationality (ship, airplane, etc.), registration, flag",jlpt-n2
刺身,"sashimi (raw sliced fish, shellfish or crustaceans)",刺身[さしみ],Noun,,jlpt-n2
血圧,blood pressure,血圧[けつあつ],Noun,,jlpt-n2
将棋,"shogi, Japanese chess, xianqi",将棋[しょうぎ],Noun,,jlpt-n2
楽器,musical instrument,楽器[がっき],"Noun, No-adjective",,jlpt-n2 jlpt-n2
直線,straight line,直線[ちょくせん],"Noun, No-adjective",,jlpt-n2
伝記,"biography, life story",伝記[でんき],"Noun, No-adjective",,jlpt-n2
反省,"reflection, reconsideration, introspection, meditation, contemplation",反省[はんせい],"Noun, Suru verb","regret, repentance, remorse, being sorry",jlpt-n2
無限,"infinity, infinitude, eternity",無限[むげん],Noun,"infinite, limitless",jlpt-n2
継続,continuation,継続[けいぞく],"Noun, Suru verb, No-adjective",,jlpt-n2
噴火,"eruption, volcanic eruption",噴火[ふんか],"Noun, Suru verb",,jlpt-n2
包装,"packing, wrapping",包装[ほうそう],"Noun, Suru verb",,jlpt-n2
手首,wrist,手首[てくび],Noun,,jlpt-n2
姓,"surname, family name",姓[せい],Noun,hereditary title (used in ancient Japan to denote rank and political standing),jlpt-n2
明け方,dawn,明[あ]け 方[がた],"Adverbial noun, Temporal noun",,jlpt-n2
香水,perfume,香水[こうすい],Noun,,jlpt-n2
彫刻,"carving, engraving, sculpture",彫刻[ちょうこく],"Noun, Suru verb",,jlpt-n2
先祖,ancestor,先祖[せんぞ],"Noun, No-adjective",,jlpt-n2
包丁,"kitchen knife, carving knife",包丁[ほうちょう],Noun,"cooking, food",jlpt-n2
太鼓,drum,太鼓[たいこ],"Noun, No-adjective",,jlpt-n2
電柱,"utility pole, power pole, telephone pole, telegraph pole, lightpole",電柱[でんちゅう],Noun,,jlpt-n2
和服,Japanese clothes,和服[わふく],Noun,,jlpt-n2
手前,"before oneself, in front of one, nearby",手前[てまえ],Noun,"a bit before reaching (a location), this side (of a location); one's standpoint, one's appearance; we; you",jlpt-n2
竹,bamboo (any grass of subfamily Bambusoideae),竹[たけ],Noun,middle (of a three-tier ranking system),jlpt-n2
表紙,"cover (of a book, magazine, etc.), binding",表紙[ひょうし],Noun,appearing on the cover of a magazine,jlpt-n2
園芸,"horticulture, gardening",園芸[えんげい],"Noun, No-adjective",,jlpt-n2
行列,"line, queue, procession, parade",行列[ぎょうれつ],"Noun, Suru verb",matrix,jlpt-n2
商社,"trading company, firm",商社[しょうしゃ],Noun,,jlpt-n2
学年,"academic year, school year",学年[がくねん],Noun,"year in school, grade in school",jlpt-n2
分布,"distribution, allocation",分布[ぶんぷ],"Noun, Suru verb",,jlpt-n2
深夜,late at night,深夜[しんや],"Adverbial noun, Temporal noun",,jlpt-n2
統一,"unity, consolidation, uniformity, unification, compatible",統一[とういつ],"Noun, Suru verb",,jlpt-n2
引き分け,"draw (in competition), tie game",引[ひ]き 分[わ]け,Noun,,jlpt-n2 jlpt-n1
記号,"symbol, code, sign, notation",記号[きごう],"Noun, No-adjective",,jlpt-n2
煮る,"to boil, to simmer, to stew, to seethe",煮[に]る,"Ichidan verb, Transitive verb",,jlpt-n2
古典,"classic (work, esp. book), the classics",古典[こてん],Noun,,jlpt-n2
通路,"passage, pathway, roadway, avenue, aisle",通路[つうろ],Noun,,jlpt-n2
宴会,"party, banquet, reception, feast, dinner",宴会[えんかい],Noun,,jlpt-n2
原理,"principle, theory, fundamental truth",原理[げんり],Noun,,jlpt-n2
平日,"weekday, ordinary days (i.e. non-holiday)",平日[へいじつ],"Adverbial noun, Noun",kanji radical 73,jlpt-n2
集合,"gathering, assembly, meeting",集合[しゅうごう],"Noun, Suru verb, No-adjective",set,jlpt-n2
光線,"beam, light ray",光線[こうせん],Noun,,jlpt-n2
測定,measurement,測定[そくてい],"Noun, Suru verb",,jlpt-n2
電球,light bulb,電球[でんきゅう],Noun,,jlpt-n2
親指,thumb,親指[おやゆび],Noun,,jlpt-n2
温室,"greenhouse, hothouse, conservatory, glasshouse",温室[おんしつ],Noun,,jlpt-n2
体操,"gymnastics, physical exercises, calisthenics",体操[たいそう],"Noun, Suru verb, No-adjective",,jlpt-n2
漁師,fisherman,漁師[りょうし],Noun,,jlpt-n2
中年,"middle-age, middle age, midlife, one's middle years",中年[ちゅうねん],"Noun, No-adjective",,jlpt-n2
農産物,agricultural produce,農産物[のうさんぶつ],Noun,,jlpt-n2
編集,"editing, compilation",編集[へんしゅう],"Noun, Suru verb",,jlpt-n2
算数,arithmetic,算数[さんすう],"Noun, No-adjective",,jlpt-n2
淡水,fresh water (i.e. not salt water),淡水[たんすい],"Noun, No-adjective",,jlpt-n2
口紅,lipstick,口紅[くちべに],"Noun, No-adjective",,jlpt-n2
俳句,"haiku, 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae",俳句[はいく],Noun,,jlpt-n2
自然科学,natural science,自然科学[しぜんかがく],"Noun, No-adjective",,jlpt-n2
歯磨き,"dental brushing, brushing one's teeth",歯磨[はみが]き,"Noun, Suru verb","dentifrice, toothpaste, tooth powder",jlpt-n2 jlpt-n1
水蒸気,"water vapour, water vapor, steam",水蒸気[すいじょうき],Noun,,jlpt-n2
垂直,vertical,垂直[すいちょく],"Na-adjective, Noun, No-adjective",perpendicular,jlpt-n2
売買,"trade, buying and selling, trafficking (e.g. of humans, arms, drugs), dealing",売買[ばいばい],"Noun, Suru verb",,jlpt-n2
交流,"(cultural) exchange, interchange, interaction, (inter-) mingling, (social, etc.) networking, intercourse",交流[こうりゅう],"Noun, Suru verb","alternating current, AC",jlpt-n2
確率,"probability, likelihood, chances",確率[かくりつ],Noun,,jlpt-n2
税関,"customs, customs house",税関[ぜいかん],Noun,,jlpt-n2
水平,"horizontal, level, even",水平[すいへい],"Na-adjective, No-adjective, Noun",,jlpt-n2
文房具,stationery,文房具[ぶんぼうぐ],Noun,,jlpt-n2
電波,"radio wave, reception, signal",電波[でんぱ],Noun,saying strange things,jlpt-n2
複数,"plural, multiple, several",複数[ふくすう],"No-adjective, Noun",,jlpt-n2
餅,"mochi, (sticky) rice cake",餅[もち],Noun,,jlpt-n2
水分,"water, liquid, fluid, moisture, humidity, sap, juice",水分[すいぶん],Noun,,jlpt-n2
摩擦,"friction, rubbing, chafing",摩擦[まさつ],"Noun, Suru verb","discord, friction, strife, conflict",jlpt-n2
大学院,graduate school,大学院[だいがくいん],Noun,,jlpt-n2 jlpt-n2
性別,"gender, distinction of sex, sex",性別[せいべつ],Noun,,jlpt-n2
漁業,fishing (industry),漁業[ぎょぎょう],"Noun, No-adjective",,jlpt-n2
役所,"government office, public office",役所[やくしょ],Noun,,jlpt-n2
灯台,lighthouse,灯台[とうだい],Noun,old-fashioned interior light fixture comprising a wooden pole with an oil-filled dish and a wick atop it,jlpt-n2
吐き気,"nausea, sickness in the stomach",吐[は]き 気[け],Noun,,jlpt-n2
電流,electric current,電流[でんりゅう],Noun,,jlpt-n2
鉱物,mineral,鉱物[こうぶつ],Noun,,jlpt-n2
透明,"transparent, clear",透明[とうめい],"Na-adjective, No-adjective, Noun",,jlpt-n2
線路,"railway track, railway line, railroad, railway, track, line",線路[せんろ],Noun,,jlpt-n2
幼稚園,kindergarten,幼稚園[ようちえん],Noun,,jlpt-n2
歯車,"gear, cogwheel",歯車[はぐるま],Noun,,jlpt-n2
冠,traditional cap worn by Shinto clergy and courtiers,冠[かんむり],Noun,"crown, diadem, coronet; top kanji radical; first verse of a haikai, etc.; best, peerless, first; name, title, named sponsorship of a program, event, team, etc.",jlpt-n2 jlpt-n1
代名詞,pronoun,代名詞[だいめいし],Noun,"synonym, classic example, pattern, byword, representative",jlpt-n2
随筆,"essays, miscellaneous writings, literary jottings",随筆[ずいひつ],Noun,,jlpt-n2
紫,"purple, violet",紫[むらさき],Noun,Lithospermum erythrorhizon (species of gromwell); type of soy sauce,jlpt-n2 jlpt-n2
工夫,"scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously",工夫[くふう],"Noun, Suru verb",dedication to spiritual improvement (esp. through Zen meditation),jlpt-n2
貨物,"cargo, freight",貨物[かもつ],Noun,money or assets,jlpt-n2
洗剤,"detergent, cleanser, cleaning agent, washing material",洗剤[せんざい],Noun,,jlpt-n2
車掌,(train) conductor,車掌[しゃしょう],Noun,,jlpt-n2
祝日,"national holiday, public holiday",祝日[しゅくじつ],"Noun, No-adjective",,jlpt-n2
名刺,business card,名刺[めいし],Noun,,jlpt-n2
会館,"meeting hall, assembly hall",会館[かいかん],Noun,,jlpt-n2
気圧,atmospheric pressure,気圧[きあつ],Noun,,jlpt-n2
頂点,"top, summit",頂点[ちょうてん],"Noun, No-adjective",vertex,jlpt-n2
接続,"connection, attachment, union, join, joint, link",接続[せつぞく],"Noun, Suru verb",changing trains; conjunction,jlpt-n2
半島,peninsula,半島[はんとう],Noun,Korea,jlpt-n2
農薬,"agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical",農薬[のうやく],"Noun, No-adjective",,jlpt-n2
圧縮,"compression, condensation, constriction, compaction",圧縮[あっしゅく],"Noun, Suru verb",,jlpt-n2
重力,"gravity, gravitation, gravitational pull",重力[じゅうりょく],Noun,,jlpt-n2
学部,department of a university,学部[がくぶ],"Noun, No-adjective","undergraduate (course, program, etc.)",jlpt-n2
真空,"vacuum, hollow, empty",真空[しんくう],"Na-adjective, Noun",,jlpt-n2
発電,generation (e.g. power),発電[はつでん],"Noun, Suru verb, No-adjective",,jlpt-n2
官庁,"government office, government agency, authorities",官庁[かんちょう],Noun,,jlpt-n2
名物,"famous product, special product, speciality, specialty",名物[めいぶつ],Noun,,jlpt-n2
司会,"leading a meeting, presiding over a meeting, officiating at a ceremony, chairmanship",司会[しかい],"Noun, Suru verb","chairman, presenter, host, moderator, master of ceremonies",jlpt-n2
転々,"moving from place to place, being passed around repeatedly",転々[てんてん],"Adverb, Adverb taking the 'to' particle, Noun, Suru verb",rolling about,jlpt-n2 jlpt-n1
流域,"drainage basin, catchment basin, river basin, watershed, valley",流域[りゅういき],Noun,,jlpt-n2
社説,"editorial, leading article, leader",社説[しゃせつ],Noun,,jlpt-n2
郡,"district, county",郡[ぐん],Noun,"district (of 2-20 50-home neighbourhoods or townships, in the ritsuryo period)",jlpt-n2
機関車,"locomotive, engine",機関車[きかんしゃ],Noun,,jlpt-n2
浴衣,yukata (light cotton kimono worn in the summer or used as a bathrobe),浴衣[ゆかた],Noun,,jlpt-n2
炭鉱,"coal mine, coal pit",炭鉱[たんこう],Noun,,jlpt-n2
献立,"menu, bill of fare",献立[こんだて],Noun,"program, programme, schedule",jlpt-n2
索引,index (in a book),索引[さくいん],Noun,,jlpt-n2
輸血,blood transfusion,輸血[ゆけつ],"Noun, Suru verb",,jlpt-n2
社会科学,social science,社会科学[しゃかいかがく],Noun,,jlpt-n2
為替,"money order, draft",為替[かわせ],Noun,exchange (e.g. foreign),jlpt-n2
西暦,"Common Era, CE, Christian Era, anno domini, AD",西暦[せいれき],Noun,Western (Gregorian) calendar,jlpt-n2
図鑑,"pictorial book, picture book, illustrated reference book, identification manual, field guide",図鑑[ずかん],Noun,,jlpt-n2
峠,"(mountain) pass, ridge, peak",峠[とうげ],"Noun, Noun - used as a suffix","peak (e.g. of summer), worst (e.g. of an illness), crisis, critical point, most difficult part",jlpt-n2
自治,"self-government, autonomy",自治[じち],Noun,local (governmental) autonomy,jlpt-n2
筆記,"(taking) notes, copying",筆記[ひっき],"Noun, Suru verb, No-adjective",,jlpt-n2
学会,"scientific society, academic meeting, academic conference",学会[がっかい],Noun,,jlpt-n2
改札,examination of tickets,改札[かいさつ],"Noun, Suru verb","ticket gate, ticket barrier",jlpt-n2 jlpt-n2
紙幣,"paper money, note, bill",紙幣[しへい],Noun,,jlpt-n2
杉,Japanese cedar (Cryptomeria japonica),杉[すぎ],Noun,,jlpt-n2
曖昧,"vague, ambiguous, unclear",曖昧[あいまい],"Na-adjective, Noun",fuzzy,jlpt-n2 jlpt-n1
梯子,ladder,梯子[はしご],Noun,stairs; going to several places in succession (e.g. barhopping),jlpt-n2 jlpt-n1
肘,elbow,肘[ひじ],Noun,,jlpt-n2
絨毯,"carpet, rug, runner",絨毯[じゅうたん],Noun,,jlpt-n2 jlpt-n1
釘,nail (i.e. small metal spike),釘[くぎ],Noun,,jlpt-n2
編み物,"knitting, knitted material, crochet",編[あ]み 物[もの],"Noun, No-adjective",,jlpt-n2
気体,"gas, vapour, vapor, gaseous body",気体[きたい],Noun,,jlpt-n2
茹でる,to boil (something in hot water),茹[ゆ]でる,"Ichidan verb, Transitive verb","to treat with medicinal steam (a swelling, etc.)",jlpt-n2 jlpt-n1
包帯,"bandage, dressing",包帯[ほうたい],"Noun, Suru verb, No-adjective",,jlpt-n2
胡椒,pepper,胡椒[こしょう],Noun,,jlpt-n2
飢饉,"famine, drought, shortage, crop failure",飢饉[ききん],Noun,,jlpt-n2
煉瓦,brick,煉瓦[れんが],Noun,,jlpt-n2
直角,"right angle, perpendicular",直角[ちょっかく],"Noun, Na-adjective, No-adjective",,jlpt-n2
錆,rust,錆[さび],Noun,,jlpt-n2 jlpt-n1
迷信,"superstition, superstitious belief",迷信[めいしん],"Noun, No-adjective, Suru verb",,jlpt-n2
櫛,comb,櫛[くし],Noun,,jlpt-n2
失恋,"disappointed love, broken heart, unrequited love, being lovelorn",失恋[しつれん],"Noun, Suru verb",,jlpt-n2
待合室,waiting room,待合室[まちあいしつ],Noun,,jlpt-n2
名詞,noun,名詞[めいし],Noun,,jlpt-n2
省略,"omission, abbreviation, abridgment, abridgement",省略[しょうりゃく],"Noun, Suru verb",,jlpt-n2
回り道,"detour, diversion",回[まわ]り 道[みち],"Noun, Suru verb",,jlpt-n2
扇風機,electric fan,扇風機[せんぷうき],Noun,,jlpt-n2
蒸発,evaporation,蒸発[じょうはつ],"Noun, Suru verb, No-adjective","disappearance (of people intentionally concealing their whereabouts), unexplained disappearance",jlpt-n2
形容詞,"adjective, i-adjective (in Japanese)",形容詞[けいようし],Noun,,jlpt-n2
屑,"waste, scrap, garbage, dregs",屑[くず],"Noun, Noun or verb acting prenominally",chad,jlpt-n2
正方形,square,正方形[せいほうけい],"Noun, No-adjective",,jlpt-n2
裁縫,"sewing, needlework",裁縫[さいほう],"Noun, Suru verb",,jlpt-n2
蕎麦,buckwheat (Fagopyrum esculentum),蕎麦[そば],Noun,"soba, Japanese buckwheat noodles",jlpt-n2
副詞,adverb,副詞[ふくし],"Noun, No-adjective",,jlpt-n2
人差し指,"index finger, forefinger",人差[ひとさ]し 指[ゆび],Noun,,jlpt-n2
消防署,fire station,消防署[しょうぼうしょ],Noun,,jlpt-n2
定規,(measuring) ruler,定規[じょうぎ],Noun,,jlpt-n2
蛍光灯,"fluorescent lamp, fluorescent light",蛍光灯[けいこうとう],Noun,"person who is slow to react, someone slow on the uptake",jlpt-n2
敬語,"honorific, term of respect, polite expression, honorific language",敬語[けいご],Noun,,jlpt-n2 jlpt-n2
矢印,arrow (symbol),矢印[やじるし],Noun,,jlpt-n2
時間割,"timetable (esp. a weekly school timetable), schedule",時間割[じかんわり],Noun,,jlpt-n2
箒,broom,箒[ほうき],"Noun, Suru verb",,jlpt-n2
体積,"capacity, volume",体積[たいせき],Noun,,jlpt-n2
人文科学,"humanities, social sciences, liberal arts",人文科学[じんぶんかがく],"Noun, No-adjective",,jlpt-n2
長方形,"rectangle, oblong",長方形[ちょうほうけい],"Noun, No-adjective",,jlpt-n2
経度,longitude,経度[けいど],Noun,,jlpt-n2
括弧,"parentheses, brackets",括弧[かっこ],"Noun, Suru verb, No-adjective",,jlpt-n2
海水浴,"swimming in the ocean, sea bathing, seawater bath, going for a dip in the ocean",海水浴[かいすいよく],Noun,,jlpt-n2
座布団,zabuton (flat floor cushion used when sitting or kneeling; usu. rectangular),座布団[ざぶとん],Noun,,jlpt-n2
障子,shoji (paper sliding door),障子[しょうじ],Noun,,jlpt-n2
薬指,"ring finger, fourth finger",薬指[くすりゆび],Noun,,jlpt-n2
便所,"toilet, lavatory, rest room, latrine, comfort station",便所[べんじょ],Noun,,jlpt-n2
温帯,temperate zone,温帯[おんたい],Noun,,jlpt-n2
下駄,"geta, Japanese wooden clogs",下駄[げた],Noun,"turn (in set-type proofing), upside-down character",jlpt-n2
風呂敷,"wrapping cloth, cloth wrapper",風呂敷[ふろしき],Noun,,jlpt-n2
肌着,"underwear, underclothes, lingerie, chemise, singlet",肌着[はだぎ],Noun,,jlpt-n2
水筒,"canteen, flask, water bottle, thermos",水筒[すいとう],Noun,,jlpt-n2
複写,"copying, duplication, reproduction, copy",複写[ふくしゃ],"Noun, Suru verb",,jlpt-n2
手洗い,"washing one's hands, water (or basin, etc.) for washing one's hands",手洗[てあら]い,Noun,"restroom, lavatory, toilet; hand-washing (laundry, etc.)",jlpt-n2
噴水,water fountain,噴水[ふんすい],Noun,,jlpt-n2
螺子,screw,螺子[ねじ],Noun,"key (of a clock, watch, etc.), spring (of a clock, watch, etc.)",jlpt-n2 jlpt-n1
滑る,"to glide, to slide (e.g. on skis), to slip",滑[すべ]る,"Godan verb with ru ending, intransitive verb","to fail (an examination), to bomb (when telling a joke); to drop, to go down, to come down, to fall (e.g. in status)",jlpt-n4 jlpt-n2 jlpt-n4 jlpt-n2
主語,subject,主語[しゅご],"Noun, No-adjective",,jlpt-n2
零点,"zero (points, marks), no marks",零点[れいてん],Noun,"zero (of a function), root; zero degrees (Celsius), freezing point",jlpt-n2
計る,"to measure, to weigh, to survey, to time (sound, gauge, estimate)",計[はか]る,"Godan verb with ru ending, Transitive verb","to conjecture, to infer, to surmise",jlpt-n3 jlpt-n2 jlpt-n3 jlpt-n2
長所,"strong point, merit, virtue, advantage",長所[ちょうしょ],Noun,,jlpt-n2
休息,"rest, relief, relaxation",休息[きゅうそく],"Noun, Suru verb, No-adjective",,jlpt-n2
湿気,"moisture, humidity, dampness",湿気[しっけ],Noun,,jlpt-n2
勝負,victory or defeat,勝負[しょうぶ],Noun,"match, contest, game, bout",jlpt-n2
役人,government official,役人[やくにん],Noun,,jlpt-n2
相互,"mutual, reciprocal",相互[そうご],"Noun, No-adjective",,jlpt-n2
引っ越し,"moving (dwelling, office, etc.), changing residence",引[ひ]っ 越[こ]し,"Noun, Suru verb",,jlpt-n2
海洋,ocean,海洋[かいよう],"Noun, No-adjective",,jlpt-n2
関西,"Kansai, region consisting of Osaka, Kobe, Kyoto and surrounding prefectures",関西[かんさい],Noun,"Kansai, south-western half of Japan (during the feudal era)",jlpt-n2
上り,"ascent, climbing, ascending (path), climb",上[のぼ]り,Noun,up-train (e.g. going to Tokyo); northward (towards Tokyo),jlpt-n2
切っ掛け,"chance, start, cue, excuse, motive, impetus, occasion",切[き]っ 掛[か]け,Noun,,jlpt-n2 jlpt-n1
正門,"main gate, main entrance",正門[せいもん],Noun,,jlpt-n2
