Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
腕,arm,腕[うで],Noun,"skill, efforts, ability",jlpt-n4 jlpt-n4
人形,"doll, puppet, figure",人形[にんぎょう],Noun,,jlpt-n4 jlpt-n4
文化,"culture, civilization, civilisation",文化[ぶんか],Noun,Bunka era (1804.2.11-1818.4.22),jlpt-n4 jlpt-n4
海岸,"coast, beach",海岸[かいがん],"Noun, No-adjective",,jlpt-n4 jlpt-n4
産業,industry,産業[さんぎょう],"Noun, No-adjective","livelihood, occupation",jlpt-n4 jlpt-n4
動物園,"zoo, zoological gardens",動物園[どうぶつえん],Noun,,jlpt-n4 jlpt-n4
美術館,"art gallery, art museum",美術館[びじゅつかん],Noun,,jlpt-n4 jlpt-n4
水道,"water supply, water service, waterworks",水道[すいどう],Noun,"channel, strait; water course, waterway",jlpt-n4 jlpt-n4
飛行場,"airfield, airport",飛行場[ひこうじょう],Noun,,jlpt-n4 jlpt-n4
葡萄,"grape, grapevine",葡萄[ぶどう],Noun,,jlpt-n4
事故,"accident, incident, trouble",事故[じこ],Noun,"circumstances, reasons",jlpt-n4 jlpt-n4
息子,son,息子[むすこ],Noun,penis,jlpt-n4 jlpt-n4
生活,"living, life (one's daily existence), livelihood",生活[せいかつ],"Noun, Suru verb",,jlpt-n4 jlpt-n4
注意,"caution, being careful, attention (heed), warning, advice",注意[ちゅうい],"Noun, Suru verb",,jlpt-n4 jlpt-n4
女性,"woman, female",女性[じょせい],"Noun, No-adjective",feminine gender,jlpt-n4 jlpt-n4
生きる,"to live, to exist",生[い]きる,"Ichidan verb, intransitive verb","to make a living, to subsist; to be in effect, to be in use, to function; to come to life, to be enlivened; to be safe (in baseball, go, etc.)",jlpt-n4 jlpt-n4
船,"ship, boat, watercraft, vessel, steamship",船[ふね],Noun,"tank, tub, vat, trough; counter for boat-shaped containers (e.g. of sashimi)",jlpt-n4 jlpt-n3 jlpt-n4 jlpt-n3
説明,"explanation, exposition",説明[せつめい],"Noun, Suru verb, No-adjective",,jlpt-n4 jlpt-n4
警察,police,警察[けいさつ],"Noun, No-adjective",police officer; police station,jlpt-n4 jlpt-n4
危険,"danger, peril, hazard",危険[きけん],"Noun, Na-adjective",risk,jlpt-n4 jlpt-n4
世界,"the world, society, the universe",世界[せかい],Noun,"sphere, circle, world; renowned, world-famous, well-known outside of Japan; realm governed by one Buddha, space",jlpt-n4 jlpt-n4
戦争,war,戦争[せんそう],"Noun, Suru verb","fighting, fierce competition",jlpt-n4 jlpt-n4
小説,"novel, (short) story",小説[しょうせつ],"Noun, No-adjective",,jlpt-n4 jlpt-n4
関係,"relation, relationship, connection",関係[かんけい],"Noun, Suru verb, No-adjective","participation, involvement, concern; influence, effect; sexual relations, sexual relationship; related to, connected to",jlpt-n4 jlpt-n4
研究,"study, research, investigation",研究[けんきゅう],"Noun, Suru verb",,jlpt-n4 jlpt-n4
会議,"meeting, conference, session, assembly, council, convention, congress",会議[かいぎ],"Noun, Suru verb, No-adjective",,jlpt-n4 jlpt-n4
音,"sound, noise, report",音[おと],"Noun, Noun - used as a suffix",note; fame; Chinese-derived character reading,jlpt-n4 jlpt-n3 jlpt-n1 jlpt-n4 jlpt-n3 jlpt-n1
普通,"general, ordinary, usual",普通[ふつう],No-adjective,"normally, generally, usually; really; local train, train that stops at every station",jlpt-n4 jlpt-n4
湖,lake,湖[みずうみ],Noun,,jlpt-n4 jlpt-n4
夢,dream,夢[ゆめ],Noun,,jlpt-n4 jlpt-n4
空港,airport,空港[くうこう],Noun,,jlpt-n4 jlpt-n4
数学,"mathematics, arithmetic",数学[すうがく],Noun,,jlpt-n4 jlpt-n4
教育,"education, schooling, training, instruction, teaching, upbringing",教育[きょういく],"Noun, Suru verb","culture, cultivation, education",jlpt-n4 jlpt-n4
赤ちゃん,"baby, infant",赤[あか]ちゃん,Noun,,jlpt-n4 jlpt-n1 jlpt-n4 jlpt-n1
火,"fire, flame, blaze",火[ひ],"Noun, Noun - used as a suffix",,jlpt-n4 jlpt-n4
自由,"freedom, liberty, as it pleases you",自由[じゆう],"Expression, Na-adjective, Noun",,jlpt-n4 jlpt-n4
森,forest,森[もり],Noun,shrine grove,jlpt-n4 jlpt-n4
法律,law,法律[ほうりつ],"Noun, No-adjective",,jlpt-n4 jlpt-n4
気分,"feeling, mood",気分[きぶん],Noun,,jlpt-n4 jlpt-n4
壁,"wall, partition",壁[かべ],Noun,"""barrier, obstacle; Chinese """"Wall"""" constellation (one of the 28 mansions)""",jlpt-n4 jlpt-n4
田舎,"rural area, countryside, the sticks",田舎[いなか],"Noun, No-adjective",hometown,jlpt-n4 jlpt-n4
気,"spirit, mind, heart",気[き],Noun,"nature, disposition; motivation, intention; mood, feelings; ambience, atmosphere, mood",jlpt-n4 jlpt-n4
男性,"man, male",男性[だんせい],"Noun, No-adjective",masculine gender,jlpt-n4 jlpt-n4
地震,earthquake,地震[じしん],Noun,,jlpt-n4 jlpt-n4
故障,"breakdown, failure, fault, accident, out of order",故障[こしょう],"Noun, Suru verb","damage, hurt; objection, protest",jlpt-n4 jlpt-n3 jlpt-n4 jlpt-n3
人口,population,人口[じんこう],Noun,common talk,jlpt-n4 jlpt-n4
残念,"deplorable, regrettable, disappointing, vexing, unfortunate",残念[ざんねん],"Na-adjective, Noun",,jlpt-n4 jlpt-n4
島,island,島[しま],Noun,"territory (of a prostitute, organized crime gang, etc.), turf",jlpt-n4 jlpt-n4
歴史,history,歴史[れきし],"Noun, No-adjective",,jlpt-n4 jlpt-n4
教会,"church, congregation",教会[きょうかい],Noun,,jlpt-n4 jlpt-n4
住所,"address (e.g. of house), residence, domicile",住所[じゅうしょ],Noun,,jlpt-n4 jlpt-n4
社会,"society, public, community, the world",社会[しゃかい],Noun,social studies,jlpt-n4 jlpt-n4
工場,"factory, plant, mill, workshop",工場[こうじょう],Noun,,jlpt-n4 jlpt-n4
趣味,"hobby, pastime",趣味[しゅみ],Noun,"tastes, preference, liking",jlpt-n4 jlpt-n4
経済,"economics, business, finance, economy",経済[けいざい],"Noun, Suru verb",,jlpt-n4 jlpt-n4
台風,"typhoon, hurricane",台風[たいふう],Noun,,jlpt-n4 jlpt-n4
卒業,"graduation, completion (e.g. of a course)",卒業[そつぎょう],"Noun, Suru verb","moving on (from), outgrowing something, leaving (a group, company, etc.), quitting",jlpt-n4 jlpt-n4
雲,cloud,雲[くも],Noun,,jlpt-n4 jlpt-n4
科学,science,科学[かがく],Noun,,jlpt-n4 jlpt-n4
光,light,光[ひかり],Noun,"illumination, ray, beam, gleam, glow; happiness, hope; influence, power; vision, eyesight",jlpt-n4 jlpt-n4
贈り物,"present, gift",贈[おく]り 物[もの],Noun,,jlpt-n4 jlpt-n4
政治,"politics, government",政治[せいじ],Noun,,jlpt-n4 jlpt-n4
特別,"special, particular, extraordinary, exceptional, especial",特別[とくべつ],"Na-adjective, No-adjective, Adverb, Noun",,jlpt-n4 jlpt-n4
水泳,swimming,水泳[すいえい],"Noun, Suru verb, No-adjective",,jlpt-n4 jlpt-n4
講義,lecture,講義[こうぎ],"Noun, Suru verb",,jlpt-n4 jlpt-n4
指,"finger, toe, digit",指[ゆび],Noun,,jlpt-n4 jlpt-n4
生産,"production, manufacture",生産[せいさん],"Noun, Suru verb",,jlpt-n4 jlpt-n3 jlpt-n4 jlpt-n3
会話,conversation,会話[かいわ],"Noun, Suru verb",,jlpt-n4 jlpt-n4
季節,"season, time of year",季節[きせつ],"Noun, No-adjective",,jlpt-n4 jlpt-n4
玩具,"toy, plaything",玩具[おもちゃ],Noun,,jlpt-n4 jlpt-n1
翻訳,translation,翻訳[ほんやく],"Noun, Suru verb","deciphering, decoding; translation",jlpt-n4 jlpt-n4
貿易,trade (foreign),貿易[ぼうえき],"Noun, Suru verb",,jlpt-n4 jlpt-n4
文学,literature,文学[ぶんがく],Noun,,jlpt-n4 jlpt-n4
葉,"leaf, blade (of grass), (pine) needle",葉[は],Noun,,jlpt-n4 jlpt-n4
交通,"traffic, transportation, communication, exchange (of ideas, etc.), intercourse",交通[こうつう],"Noun, Suru verb",,jlpt-n4 jlpt-n4
遊び,playing,遊[あそ]び,"Noun, Noun - used as a suffix","play (margin between on and off, gap before pressing button or lever has an effect)",jlpt-n4 jlpt-n4
道具,"tool, implement, instrument, utensil, apparatus, device",道具[どうぐ],Noun,means; furniture,jlpt-n4 jlpt-n4
入学,"entry to school or university, matriculation, enrolment (in university, etc.) (enrollment)",入学[にゅうがく],"Noun, Suru verb",,jlpt-n4 jlpt-n3 jlpt-n4 jlpt-n3
背中,back (of body),背中[せなか],Noun,,jlpt-n4 jlpt-n4
発音,pronunciation,発音[はつおん],"Noun, Suru verb",production of sound,jlpt-n4 jlpt-n4
指輪,(finger) ring,指輪[ゆびわ],Noun,,jlpt-n4 jlpt-n4
医学,"medical science, medicine",医学[いがく],Noun,,jlpt-n4 jlpt-n4
漫画,"cartoon, comic, comic strip",漫画[まんが],Noun,,jlpt-n4 jlpt-n4
鏡,"mirror, looking-glass",鏡[かがみ],Noun,"barrel head; page added at the beginning of a document mentioning its purpose, date, author, etc.; mirror-shaped mochi",jlpt-n4 jlpt-n4
電報,telegram,電報[でんぽう],Noun,,jlpt-n4 jlpt-n4
校長,"principal, headmaster",校長[こうちょう],Noun,,jlpt-n4 jlpt-n4
市民,"citizen, citizenry, public",市民[しみん],Noun,"city inhabitant, townspeople; bourgeoisie, middle class",jlpt-n4
郊外,"suburb, residential area on the outskirt of a city, commuter belt",郊外[こうがい],Noun,,jlpt-n4 jlpt-n4
砂,"sand, grit",砂[すな],Noun,"gold dust, silver dust",jlpt-n4 jlpt-n4
手袋,"glove, mitten, mitt",手袋[てぶくろ],Noun,,jlpt-n4 jlpt-n4
絹,silk,絹[きぬ],Noun,,jlpt-n4 jlpt-n4
日記,"diary, journal",日記[にっき],Noun,,jlpt-n4 jlpt-n4
文法,"grammar, syntax",文法[ぶんぽう],"Noun, No-adjective",,jlpt-n4 jlpt-n4
糸,"thread, yarn, string",糸[いと],"Noun, Noun - used as a suffix",,jlpt-n4 jlpt-n4
神社,Shinto shrine,神社[じんじゃ],Noun,,jlpt-n4 jlpt-n4
駐車場,"parking lot, parking place",駐車場[ちゅうしゃじょう],Noun,,jlpt-n4 jlpt-n4
展覧会,exhibition,展覧会[てんらんかい],Noun,,jlpt-n4 jlpt-n4
小学校,"primary school, elementary school, grade school",小学校[しょうがっこう],Noun,,jlpt-n4 jlpt-n4
西洋,"the west, Western countries",西洋[せいよう],"Noun, No-adjective",,jlpt-n4 jlpt-n4
先輩,"senior (at work or school), superior, elder, older graduate, progenitor, old-timer",先輩[せんぱい],Noun,,jlpt-n4 jlpt-n4
注射,injection,注射[ちゅうしゃ],"Noun, Suru verb",,jlpt-n4 jlpt-n4
坂,"slope, hill",坂[さか],Noun,,jlpt-n4 jlpt-n4
乗り物,"vehicle, conveyance, transport",乗[の]り 物[もの],Noun,"ride (playground, fair, carnival), playground facility",jlpt-n4 jlpt-n4
旅館,"ryokan, traditional inn, Japanese-style lodging, usu. professionally-run",旅館[りょかん],Noun,,jlpt-n4 jlpt-n4
林,"woods, forest, copse, thicket",林[はやし],Noun,"bunch, line (of something), collection",jlpt-n4 jlpt-n4
布団,"futon, Japanese bedding consisting of a mattress and a duvet",布団[ふとん],Noun,round cushion used for Zen meditation (traditionally made of woven bulrush leaves),jlpt-n4 jlpt-n4
中学校,"junior high school, middle school, lower secondary school",中学校[ちゅうがっこう],Noun,,jlpt-n4 jlpt-n4
研究室,laboratory,研究室[けんきゅうしつ],Noun,seminar room; professor's office,jlpt-n4 jlpt-n4
会議室,"conference room, council room",会議室[かいぎしつ],Noun,,jlpt-n4 jlpt-n4
柔道,judo,柔道[じゅうどう],Noun,,jlpt-n4 jlpt-n4
高等学校,"senior high school, high school",高等学校[こうとうがっこう],Noun,,jlpt-n4 jlpt-n4
花見,"cherry blossom viewing, flower viewing",花見[はなみ],"Noun, Suru verb",,jlpt-n4 jlpt-n4
公務員,"government worker, public servant, civil servant",公務員[こうむいん],Noun,,jlpt-n4 jlpt-n4
辞典,"dictionary, lexicon",辞典[じてん],Noun,,jlpt-n4 jlpt-n4
心,"mind, heart, spirit",心[こころ],Noun,"the meaning of a phrase (riddle, etc.)",jlpt-n4 jlpt-n4
力,"force, strength, might, vigour (vigor), energy",力[ちから],Noun,"capability, ability, proficiency, capacity, faculty; efficacy, effect; effort, endeavours (endeavors), exertions; power, authority, influence, good offices, agency; support, help, aid, assistance; stress, emphasis; means, resources",jlpt-n4 jlpt-n4
喧嘩,"quarrel, brawl, fight, squabble, scuffle, argument",喧嘩[けんか],"Noun, Suru verb",,jlpt-n4 jlpt-n3 jlpt-n4 jlpt-n3
天気予報,"weather forecast, weather report",天気予報[てんきよほう],Noun,,jlpt-n4 jlpt-n4
髭,"moustache, beard, whiskers",髭[ひげ],Noun,"whiskers (on a cat, etc.), feelers (on an insect, etc.), (chin) tuft; extremely short pulse appearing on an electrical signal",jlpt-n4 jlpt-n2
押し入れ,closet,押[お]し 入[い]れ,Noun,,jlpt-n4 jlpt-n4
味噌,"miso, fermented condiment usu. made from soybeans",味噌[みそ],Noun,"innards (from crabs, shrimps, etc.) resembling miso; key (main) point, good part (of something); weakling, weak person; try",jlpt-n4 jlpt-n4
客,"guest, visitor",客[きゃく],Noun,"customer, client, shopper, spectator, audience, tourist, sightseer, passenger",jlpt-n4 jlpt-n4
祖父,grandfather,祖父[そふ],"Noun, No-adjective",old man; kyogen mask used for the role of an old man,jlpt-n4 jlpt-n4
高校,"senior high school, high school",高校[こうこう],Noun,,jlpt-n4 jlpt-n4
近所,"neighbourhood, neighborhood",近所[きんじょ],"Noun, No-adjective",,jlpt-n4 jlpt-n4
番組,"program (e.g. TV), programme",番組[ばんぐみ],Noun,,jlpt-n4 jlpt-n4
見物,"sightseeing, watching, viewing",見物[けんぶつ],"Noun, Suru verb","sightseer, watcher, spectator",jlpt-n4 jlpt-n4
亜米利加,America,亜米利加[アメリカ],Noun,United States of America,jlpt-n4
彼女,"she, her",彼女[かのじょ],Pronoun,girlfriend,jlpt-n4 jlpt-n4
思う,"to think, to consider, to believe, to reckon",思[おも]う,"Godan verb with u ending, Transitive verb","to think (of doing), to plan (to do); to judge, to assess, to regard; to imagine, to suppose, to dream; to expect, to look forward to; to feel, to be (in a state of mind), to desire, to want; to recall, to remember",jlpt-n4 jlpt-n4
僕,"I, me",僕[ぼく],Pronoun,you; manservant,jlpt-n4 jlpt-n4
必要,"necessary, needed, essential, indispensable",必要[ひつよう],Na-adjective,"necessity, need, requirement",jlpt-n4 jlpt-n4
見える,"to be seen, to be in sight",見[み]える,"Ichidan verb, intransitive verb","to look, to seem, to appear; to come",jlpt-n4 jlpt-n4
考える,"to think (about, of), to think over, to ponder, to contemplate, to reflect (on), to meditate (on)",考[かんが]える,"Ichidan verb, Transitive verb","to consider, to bear in mind, to allow for, to take into consideration; to think (that), to believe, to hold (a view), to judge, to conclude, to suspect; to intend (to do), to think of (doing), to plan; to predict, to anticipate, to expect, to imagine; to come up with, to think up, to contrive, to devise; to consider (as), to regard (as), to look on (as), to take, to view",jlpt-n4 jlpt-n4
為,"good, advantage, benefit, welfare",為[ため],Noun,"sake, purpose, objective, aim; consequence, result, effect; affecting, regarding, concerning",jlpt-n4 jlpt-n4
始める,"to start, to begin, to commence, to initiate, to originate",始[はじ]める,"Ichidan verb, Transitive verb","to start up (a business, society, etc.), to open (e.g. a store), to establish; to start ..., to begin to ...",jlpt-n4 jlpt-n4
受ける,"to receive, to get",受[う]ける,"Ichidan verb, Transitive verb","to catch (e.g. a ball); to be struck by (wind, waves, sunlight, etc.); to sustain (damage), to incur (a loss), to suffer (an injury), to feel (influence); to undergo (e.g. surgery), to take (a test), to accept (a challenge); to be given (e.g. life, talent); to find funny, to find humorous, to be amused (by); to follow, to succeed, to be descended from; to face (south, etc.); to be modified by; to obtain (a pawned item, etc.) by paying a fee; to be well-received, to become popular, to go down well",jlpt-n4 jlpt-n4
美しい,"beautiful, pretty, lovely, sweet, pure (heart, friendship, etc.)",美[うつく]しい,I-adjective,,jlpt-n4 jlpt-n4
試験,"examination, exam, test",試験[しけん],"Noun, Suru verb","trial, experiment, test",jlpt-n4 jlpt-n4
親切,"kind, gentle, considerate, generous, friendly, nice",親切[しんせつ],"Na-adjective, Noun",,jlpt-n4 jlpt-n4
失敗,"failure, mistake, blunder",失敗[しっぱい],"Noun, No-adjective, Suru verb",,jlpt-n4 jlpt-n4
以上,"not less than, ... and more, ... and upwards",以上[いじょう],"Adverbial noun, Temporal noun","beyond ... (e.g. one's means), further (e.g. nothing further to say), more than ... (e.g. cannot pay more than that); above-mentioned, foregoing; since ..., seeing that ...; this is all, that is the end, the end",jlpt-n4 jlpt-n4
意見,"opinion, view, comment",意見[いけん],"Noun, Suru verb, No-adjective",,jlpt-n4 jlpt-n4
決して,"never, by no means, not in the least, in no way",決[けっ]して,Adverb,,jlpt-n4 jlpt-n4
十分,"enough, sufficient, plenty, adequate, satisfactory",十分[じゅうぶん],Na-adjective,"sufficiently, fully, thoroughly, well, perfectly; division into ten",jlpt-n4
試合,"match, game, bout, contest",試合[しあい],"Noun, Suru verb",,jlpt-n4 jlpt-n4
一生懸命,"very hard, with utmost effort, with all one's might, for dear life",一生懸命[いっしょうけんめい],"Na-adjective, Adverbial noun, Noun",,jlpt-n4 jlpt-n4
