Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
子,child,子[こ],"Noun, Noun - used as a suffix","young (animal); young woman, young geisha; offshoot; interest; new shares; player who is not a dealer (in cards, mahjong, etc.); bird egg; -er (often of young women)",jlpt-n4 jlpt-n1 jlpt-n4 jlpt-n1
探す,"to search (for something desired, needed), to look for",探[さが]す,"Godan verb with su ending, Transitive verb","to search (for something lost), to seek (a suspect in a crime)",jlpt-n4 jlpt-n2 jlpt-n4 jlpt-n2
急ぐ,"to hurry, to rush, to hasten, to make something happen sooner",急[いそ]ぐ,"Godan verb with gu ending, intransitive verb, Transitive verb",,jlpt-n4 jlpt-n4
選ぶ,"to choose, to select",選[えら]ぶ,"Godan verb with bu ending, Transitive verb",,jlpt-n4 jlpt-n4
送る,"to send (a thing), to dispatch, to despatch, to transmit",送[おく]る,"Godan verb with ru ending, Transitive verb","to take or escort (a person somewhere), to see off (a person); to bid farewell (to the departed), to bury; to spend (time), to live one's life; to pass (down the line); to affix okurigana",jlpt-n4 jlpt-n4
必ず,"always, without exception, necessarily, certainly, without fail, positively, invariably",必[かなら]ず,Adverb,,jlpt-n4 jlpt-n4
怒る,"to get angry, to get mad",怒[おこ]る,"Godan verb with ru ending, intransitive verb","to tell someone off, to scold; to be angular, to be square",jlpt-n4 jlpt-n1 jlpt-n4 jlpt-n1
最近,"recently, lately, these days, nowadays, right now",最近[さいきん],"Adverbial noun, Temporal noun, No-adjective","nearest, closest",jlpt-n4 jlpt-n4
払う,"to pay (e.g. money, bill)",払[はら]う,"Godan verb with u ending, Transitive verb","to brush off, to wipe away, to clear away, to dust off, to cut off (e.g. branches); to drive away (e.g. one's competitors); to sell off (something unneeded), to dispose of; to pay (e.g. attention), to show (e.g. respect, concern); to make (e.g. effort, sacrifice), to expend, to exert; to move out (of one's own place), to vacate; to sweep (e.g. one's legs), to knock aside; to make a sweeping stroke (in Japanese calligraphy); to reset (an abacus)",jlpt-n4
合う,"to come together, to merge, to unite, to meet",合[あ]う,"Godan verb with u ending, intransitive verb","to fit, to match, to suit, to agree with, to be correct; to be profitable, to be equitable; to do ... to each other, to do ... together",jlpt-n4 jlpt-n4
点,"dot, spot, point, speck, mark",点[てん],Noun,"""mark (in an exam, etc.), grade, score, points; point (in a game), score, goal, run; point (in geometry); point, aspect, matter, detail, part, respect, way, viewpoint; (punctuation) mark (e.g. comma, period, decimal point), dot; """"dot"""" stroke (in a Chinese character); counter for points, marks, goals, etc.; counter for goods, items, articles of clothing, works of art, etc.""",jlpt-n4 jlpt-n4
決める,"to decide, to choose, to determine, to make up one's mind, to resolve, to set one's heart on, to settle, to arrange, to set, to appoint, to fix",決[き]める,"Ichidan verb, Transitive verb","to clinch (a victory), to decide (the outcome of a match); to persist in doing, to go through with; to always do, to have made a habit of; to take for granted, to assume; to dress up, to dress to kill, to dress to the nines; to carry out successfully (a move in sports, a pose in dance, etc.), to succeed in doing; to immobilize with a double-arm lock (in sumo, judo, etc.); to eat or drink something, to take illegal drugs",jlpt-n4 jlpt-n4
笑う,to laugh,笑[わら]う,"Godan verb with u ending, intransitive verb","to smile; to sneer, to ridicule; to be dumbfounded, to be flabbergasted",jlpt-n4 jlpt-n4
最初,"beginning, outset, first, onset",最初[さいしょ],"No-adjective, Adverbial noun, Temporal noun",,jlpt-n4 jlpt-n4
反対,"opposition, resistance, antagonism, hostility, objection, dissent",反対[はんたい],"Noun, Suru verb, No-adjective, Na-adjective","reverse, opposite, inverse, contrary",jlpt-n4 jlpt-n4
妻,wife,妻[つま],Noun,"my dear, dear, honey; garnish (esp. one served with sashimi); embellishment",jlpt-n4 jlpt-n4
娘,(my) daughter,娘[むすめ],Noun,"girl (i.e. a young, unmarried woman)",jlpt-n4 jlpt-n4
喜ぶ,"to be delighted, to be glad, to be pleased",喜[よろこ]ぶ,Godan verb with bu ending,to congratulate; to gratefully accept,jlpt-n4 jlpt-n2 jlpt-n4 jlpt-n2
理由,"reason, pretext, motive",理由[りゆう],Noun,,jlpt-n4 jlpt-n4
昔,"olden days, former",昔[むかし],"No-adjective, Adverbial noun, Temporal noun",,jlpt-n4 jlpt-n4
約束,"promise, agreement, arrangement, one's word, contract, pact, appointment, engagement, date",約束[やくそく],"Noun, Suru verb","convention, rule; destiny, fate",jlpt-n4 jlpt-n4
思い出す,"to recall, to remember, to recollect",思[おも]い 出[だ]す,"Godan verb with su ending, Transitive verb",,jlpt-n4 jlpt-n4
正しい,"right, correct",正[ただ]しい,I-adjective,"proper, righteous, just, honest, truthful, lawful",jlpt-n4 jlpt-n4
落ちる,"to fall down, to drop, to fall (e.g. rain), to sink (e.g. sun or moon), to fall onto (e.g. light or one's gaze), to be used in a certain place (e.g. money)",落[お]ちる,"Ichidan verb, intransitive verb","to be omitted, to be missing; to decrease, to sink; to fail (e.g. exam or class), to lose (contest, election, etc.); to crash, to degenerate, to degrade, to fall behind; to become indecent (of a conversation); to be ruined, to go under; to fade, to come out (e.g. a stain), to come off (e.g. makeup), to be removed (e.g. illness, possessing spirit, name on a list); to fall (into someone's hands), to become someone's possession; to fall (into a trap), to fall (for a trick); to give in, to give up, to confess, to flee; to fall, to be defeated, to surrender; to come to (in the end), to end in; to fall (in love, asleep, etc.); to swoon (judo); to consent, to understand; to go down (of a website, server, etc.), to crash; to log out (of an online game, chat room, etc.), to drop out, to leave, to go offline; to die; to move to the depths; to go down (of a website, server, etc.)",jlpt-n4 jlpt-n1 jlpt-n4 jlpt-n1
場所,"place, location, spot, position",場所[ばしょ],Noun,"room, space; basho, wrestling tournament",jlpt-n4 jlpt-n4
楽しむ,to enjoy (oneself),楽[たの]しむ,Godan verb with mu ending,,jlpt-n4 jlpt-n1
利用,"use, utilization, utilisation, application",利用[りよう],"Noun, Suru verb",,jlpt-n4 jlpt-n4
間に合う,to be in time for,間[ま]に 合[あ]う,"Godan verb with u ending, intransitive verb","to serve (suit, meet) the purpose, to be good enough, to be enough",jlpt-n4 jlpt-n4
今度,"this time, now",今度[こんど],"Adverbial noun, Temporal noun","next time, another time, shortly, soon; recently, previous, last",jlpt-n4 jlpt-n4
予定,"plans, arrangement, schedule, program, programme, expectation, estimate",予定[よてい],"Noun, Suru verb",,jlpt-n4 jlpt-n4
訪ねる,"to visit, to call on, to pay a visit to",訪[たず]ねる,"Ichidan verb, Transitive verb",,jlpt-n4 jlpt-n4
赤ん坊,"baby, infant",赤[あか]ん 坊[ぼう],Noun,,jlpt-n4 jlpt-n2 jlpt-n4 jlpt-n2
進む,"to advance, to go forward",進[すす]む,"Godan verb with mu ending, intransitive verb","to precede, to go ahead (of); to make progress, to improve; to deepen, to heighten; to be fast (of a clock), to be ahead; to do of one's own free will",jlpt-n4 jlpt-n4
最後,"end, conclusion",最後[さいご],Noun,"last, final, latest, most recent; no sooner than, once, right after (often having negative consequences); one's final moments",jlpt-n4 jlpt-n4
向かう,to face,向[む]かう,"Godan verb with u ending, intransitive verb","to go towards, to head towards",jlpt-n4 jlpt-n2 jlpt-n4 jlpt-n2
通る,"to go by, to go past, to go along, to travel along, to pass through, to use (a road), to take (a route), to go via, to go by way of",通[とお]る,"Godan verb with ru ending, intransitive verb","to run (between), to operate (between), to connect; to go indoors, to go into a room, to be admitted, to be shown in, to be ushered in, to come in; to penetrate, to pierce, to skewer, to go through, to come through; to permeate, to soak into, to spread throughout; to carry (e.g. of a voice), to reach far; to be passed on (e.g. of a customer's order to the kitchen), to be relayed, to be conveyed; to pass (a test, a bill in the House, etc.), to be approved, to be accepted; to go by (a name), to be known as, to be accepted as, to have a reputation for; to be coherent, to be logical, to be reasonable, to be comprehensible, to be understandable, to make sense; to get across (e.g. of one's point), to be understood; to be straight (e.g. wood grain); to be well-informed, to be wise; to do ... completely, to do ... thoroughly",jlpt-n4 jlpt-n4
興味,"interest (in something), curiosity (about something), zest (for)",興味[きょうみ],Noun,,jlpt-n4 jlpt-n4
時代,"period, epoch, era, age",時代[じだい],"Temporal noun, Noun","the times, those days; oldness, ancientness, antiquity; antique, period piece",jlpt-n4 jlpt-n4
気持ち,"feeling, sensation, mood",気持[きも]ち,Noun,"preparedness, readiness, attitude; thanks, solicitude, sympathy; just a little, somewhat, slightly",jlpt-n4 jlpt-n4
途中,"on the way, en route",途中[とちゅう],"Adverbial noun, Temporal noun","in the middle of, midway",jlpt-n4 jlpt-n1 jlpt-n4 jlpt-n1
返事,"reply, answer, response",返事[へんじ],"Noun, Suru verb",,jlpt-n4 jlpt-n4
簡単,"simple, easy, uncomplicated",簡単[かんたん],"Na-adjective, Noun","brief, quick, light",jlpt-n4 jlpt-n4
深い,deep,深[ふか]い,I-adjective,"profound; dense, thick; close (relationship); intense, strong; late",jlpt-n4 jlpt-n4
起こす,"to raise, to raise up, to set up, to pick up",起[お]こす,"Godan verb with su ending, Transitive verb","to wake, to wake up, to waken, to awaken; to cause, to bring about, to lead to, to trigger, to give rise to, to create, to generate (e.g. heat, electricity), to produce; to start, to begin, to launch, to establish, to found, to set up, to open; to plough, to plow, to till; to fall ill with; to transcribe, to write down (what is spoken); to turn over (a card)",jlpt-n4 jlpt-n1 jlpt-n4 jlpt-n1
夫,husband,夫[おっと],Noun,,jlpt-n4 jlpt-n4
一度,"once, one time, on one occasion",一度[いちど],Adverbial noun,"temporarily, for a moment; one degree, one tone, one musical interval",jlpt-n4 jlpt-n4
場合,"case, situation",場合[ばあい],"Adverbial noun, Noun",,jlpt-n4 jlpt-n4
運ぶ,"to carry, to transport, to move, to convey",運[はこ]ぶ,"Godan verb with bu ending, Transitive verb","to come, to go; to wield (a tool, etc.), to use; to go (well, etc.), to proceed, to progress",jlpt-n4 jlpt-n4
今夜,"this evening, tonight",今夜[こんや],"Adverbial noun, Temporal noun",,jlpt-n4 jlpt-n4
盗む,to steal,盗[ぬす]む,"Godan verb with mu ending, Transitive verb",,jlpt-n4 jlpt-n4
習慣,habit,習慣[しゅうかん],"Noun, No-adjective","custom, cultural practice",jlpt-n4 jlpt-n4
大抵,"mostly, ordinarily, usually, generally",大抵[たいてい],"Na-adjective, Adverb, Noun","probably; most, almost all; ordinary; proper, appropriate, moderate",jlpt-n4 jlpt-n3 jlpt-n4 jlpt-n3
残る,"to remain, to be left",残[のこ]る,"Godan verb with ru ending, intransitive verb",,jlpt-n4
