Japanese	type	Romaji	English
経験	noun	Keiken	Experience
警察	noun	Keisatsu	Police
経済	noun	Keizai	Economics
堅	noun	Ken	Ken
見物	noun	Kenbutsu	Sightseeing
研究	noun	Kenkyū	Study
研究	noun	Kenkyū	Study
懸命	adjective-na"}”>adjective-na	kenmei	eagerness
消し	verb"}”>verb	Keshi	To erase
景色	noun	Keshiki	Scenery
決して	verb"}”>adverb	Kesshite	Never
気	noun	Ki	Spirit
厳しい	adjective"}”>adjective	Kibishī	Severe
気分	noun	Kibun	Feeling
機会	noun	Kikai	Chance
危険	noun	Kiken	Danger
聞こえる	verb"}”>verb	Kikoeru	To be heard
決る	verb"}”>verb	Kimaru	To be decided
決める	verb"}”>verb	Kimeru	To decide
君	pronoun	Kimi	You
気持ち	noun	Kimochi	Feeling
着物	noun	Kimono"}”>Kimono	Clothing
近所	noun	Kinjo	Neighbourhood
絹	noun	Kinu	Silk
季節	noun	Kisetsu	Season
汽車	noun	Kisha	Train
規則	noun	Kisoku	Rules
子	noun	ko	child
子	noun	Ko	Child
硬	prefix	kō	hardness
校長	noun	Kōchō	Principal
講堂	noun	Kōdō	Auditorium
郊外	noun	Kōgai	Suburb
講義	noun	Kōgi	Lecture
工業	noun	Kōgyō	industry
工場	noun	Kōjō	Factory
高校	noun	Kōkō	Senior high school
心	noun	Kokoro	Mind
国際	noun	Kokusai	International
細かい	adjective"}”>adjective	Komakai	Small
公務	noun	Kōmu	Official business
今夜	noun	Kon’ya	This evening
今度	noun	Kondo	Now
故障	noun	Koshō	Break-down
答	noun	Kotae	Response
高等	adjective-na"}”>adjective-na	kōtō	high class
小鳥	noun	Kotori	Small bird
交通	noun	Kōtsū	Communication
怖い	adjective"}”>adjective	Kowai	Scary
壊れる	verb"}”>verb	Kowareru	To be broken
壊す	verb"}”>verb	Kowasu	To break
首	noun	Kubi	Obito
下る	verb"}”>verb	Kudaru	To descend
空気	noun	Kūki	Air
空港	noun	Kūkō	Airport
雲	noun	Kumo	Cloud
比べる	verb"}”>verb	Kuraberu	To compare
暮れる	verb"}”>verb	Kureru	To get dark
草	noun	Kusa	Grass
客	noun	Kyaku	Guest
教育	noun	Kyōiku	Training
教会	noun	Kyōkai	Church
興味	noun	Kyōmi	Interest
競争	noun	Kyōsō	Competition
急	noun	Kyū	Urgent
急行	noun	Kyūkō	Moving at high speed
間	noun	Ma	1.818 m
間違える	verb"}”>verb	Machigaeru	To make a mistake
参る	verb"}”>verb	Mairu	To go
負ける	verb"}”>verb	Makeru	To lose
真中	noun	Manaka	Manaka
漫画	noun	Manga	Comic
間に合う	verb"}”>verb	Maniau	To be in time for
祭り	noun	matsuri	festival
周り	noun	Mawari	Circumference
回る	verb"}”>verb	Mawaru	To turn
召し上がる	verb"}”>verb	Meshiagaru	To eat
珍しい	adjective"}”>adjective	Mezurashī	Unusual
見える	verb"}”>verb	Mieru	To have an audience
見舞い	noun	mimai	visiting ill or distressed people
皆	noun	Mina	All
港	noun	Minato	Harbour
味噌	noun	Miso	Miso
見つかる	verb"}”>verb	Mitsukaru	To be found
見つける	verb"}”>verb	Mitsukeru	To discover
土産	noun	miyage	product of the land
湖	noun	Mizuumi	Lake
戻る	verb"}”>verb	Modoru	To turn back
木綿	noun	Momen	Cotton
森	noun	Mori	Forest
申し上げる	verb"}”>verb	Mōshiageru	To say
申す	verb"}”>verb	Mōsu	To be called
む	symbol	mu	mu
迎える	verb"}”>verb	Mukaeru	To go out to meet
昔	noun	Mukashi	Olden days
向かう	verb"}”>verb	Mukau	To face
無理	noun	Muri	Unreasonable
虫	noun	Mushi	Insect
息子	noun	Musuko	Son
娘	noun	Musume	daughter
投げる	verb"}”>verb	Nageru	To throw
中々	verb"}”>adverb	Nakanaka	Very
泣く	verb"}”>verb	Naku	To cry
亡くなる	verb"}”>verb	Nakunaru	To die
無くなる	verb"}”>verb	Nakunaru	To disappear
治る	verb"}”>verb	Naoru	To be cured
直る	verb"}”>verb	Naoru	To be cured
直す	verb"}”>verb	Naosu	To cure
慣れる	verb"}”>verb	Nareru	To grow accustomed
鳴る	verb"}”>verb	Naru	To sound
寝坊	noun	Nebō	Sleeping in late
眠い	adjective"}”>adjective	Nemui	Sleepy
眠る	verb"}”>verb	Nemuru	To sleep
熱	noun	Netsu	Fever
に	auxiliary	ni	plain copula
に	particle"}”>particle	ni	in+
日	noun	Nichi	Sunday
苦い	adjective"}”>adjective	Nigai	Bitter
逃げる	verb"}”>verb	Nigeru	To escape
日記	noun	Nikki	Diary
人形	noun	Ningyō	Doll
似る	verb"}”>verb	Niru	To resemble
残る	verb"}”>verb	Nokoru	To remain
乗り換える	verb"}”>verb	Norikaeru	To transfer
乗り物	noun	Norimono	Vehicle
塗る	verb"}”>verb	Nuru	To paint
盗む	verb"}”>verb	Nusumu	To steal
入学	noun	Nyūgaku	university"}”> Entry to school or university
入院	noun	Nyūin	Hospitalization
落ちる	verb"}”>verb	Ochiru	To fall down
踊り	noun	Odori	Dance
驚く	verb"}”>verb	Odoroku	To be surprised
踊る	verb"}”>verb	Odoru	To dance
大分	noun	ōita	Ōita
行う	verb"}”>verb	Okonau	To perform
怒る	verb"}”>verb	Okoru	To get angry
